item_name,description,github,gist,gitlab,bitbucket,launchpad,twitter,youtube,blogpost,cran,pypi,codeberg,website,publication,DOI,author1_name,author2_name,author3_name,author4_name,author5_name,author6_name,category,platform,tag1,tag2,tag3,tag4,tag5,notes,internetarchive
zoolog,"Zoolog is an R package designed to streamline the manipulation of log-ratios (log size indices) derived from measurements of zooarchaeological material. By providing functions for data cleaning, transformation, and analysis, Zoolog aids in creating standardized, comparable datasets for morphological and metric studies of animal remains. Researchers can easily integrate Zoolog into their archaeological workflows to better interpret past human-animal interactions. The package’s user-friendly interface and methodological guidance facilitate rigorous data-driven approaches in zooarchaeology, ensuring reproducible results and enhanced research outcomes.",https://github.com/josempozo/zoolog,,,,,,,,https://cran.r-project.org/package=zoolog,,,https://josempozo.github.io/zoolog/,,,josempozo,Silvia Valenzuela-Lamas,Angela Trentacoste,Ariadne Nieto-Espinet,Silvia Guimarães Chiarelli,,Packages and libraries,R,Zooarchaeology,archhist-software-tool,,,,,https://archive.org/details/github.com-josempozo-zoolog_-_2021-02-25_14-11-16
iconr,"Iconr is an R package delivering a comprehensive suite of formal methods to explore and analyze archaeological iconographic datasets, including rock-art, pottery decoration, and stelae. By leveraging network and spatial analysis, it helps researchers compare motifs, measure morphological similarities, and interpret patterns within cultural contexts. This toolkit fosters a deeper understanding of visual elements across distinct archaeological sites, facilitating robust quantitative approaches to iconographic research. With user-friendly documentation and examples, it aims to streamline the workflow for analyzing large-scale image-based datasets in historical and archaeological investigations.",https://github.com/zoometh/iconr,,,,,,,,,,,https://zoometh.github.io/iconr/articles/index.html,,,zoometh,josempozo,Craig Alexander,,,,Packages and libraries,R,Iconography,archhist-software-tool,,,,,https://archive.org/details/github.com-zoometh-iconr_-_2021-03-01_18-06-08
heurist,"Heurist is a user-friendly, web-based data management platform designed for researchers across the humanities, social sciences, and beyond. The system allows users to structure, analyze, and visualize data through a robust interface without requiring specialized programming skills. It supports advanced data modeling, relationship mapping, and customizable reporting, enabling collaborative research projects and data sharing. With a flexible design that scales to various project sizes and needs, Heurist fosters comprehensive, dynamic data exploration and insight generation.",https://github.com/HeuristNetwork/heurist,,,,,,,,,,,http://heuristnetwork.org/,,,HeuristNetwork,,,,,,Standalone software,,Data management,archhist-software-tool,,,,,https://archive.org/details/github.com-HeuristNetwork-heurist_-_2021-03-01_11-18-04
anthropmmd,"anthropmmd is an R package designed to facilitate morphological analysis using Smith’s Mean Measure of Divergence (MMD). It includes a user-friendly graphical interface, advanced trait selection, and built-in visualization tools for exploring differences among populations. By enabling researchers to effectively standardize data and interpret patterns in morphological variation, anthropmmd supports anthropological and bioarchaeological studies that focus on evolutionary trends or population affinities. Its integration with R ensures a flexible and reproducible workflow for rigorous statistical evaluation.",https://github.com/frederic-santos/anthropmmd,,,,,,,,,,,,,10.1002/ajpa.23336,frederic-santos,,,,,,Packages and libraries,R,Cultural evolution,Statistical analysis,archhist-software-tool,,,https://archive.org/details/github.com-frederic-santos-anthropmmd_-_2020-09-22_11-43-32
rdss,"rdss is an R package designed to implement Murail et al.'s (1999) method for sex estimation in archaeological or historical contexts. By streamlining data input, performing robust analyses, and generating automated visualizations, it helps researchers investigate demographic patterns and human osteobiography with improved accuracy. The package includes built-in functions for data preparation, parameter calibration, and result interpretation, making it an indispensable tool for anthropologists, bioarchaeologists, and forensic scientists.",https://github.com/frederic-santos/rdss,,,,,,,,,,,,,10.1002/oa.2957,frederic-santos,,,,,,Packages and libraries,R,Cultural evolution,Statistical analysis,archhist-software-tool,,,,https://archive.org/details/github.com-frederic-santos-rdss_-_2021-01-21_10-05-28
3D-ORGAN,"3D-ORGAN is a generative adversarial network-based approach for partial scans transformation, offering a robust digital reconstruction pipeline for incomplete archaeological objects. By analyzing missing geometric parts in artifacts, the tool employs advanced deep learning methods to restore structural and aesthetic elements, aiding archaeologists in digital restoration tasks. This system can be integrated into research workflows to model, visualize, and interpret cultural heritage objects more accurately, bridging the gap between partial data and comprehensive 3D reconstructions.",https://github.com/renato145/3D-ORGAN,,,,,,,,,,,,https://dl.acm.org/doi/abs/10.1145/3208159.3208173,10.1145/3208159.3208173,Renato Hermoza,Ivan Sipiran,,,,,Scripts,Python,3D modelling,archhist-software-tool,,,,,https://archive.org/details/github.com-renato145-3D-ORGAN_-_2020-02-20_02-43-58
map-of-Ancient-Egypt,Map-of-Ancient-Egypt is a Python-based project that provides an interactive map of known ancient Egyptian pyramid sites, employing OpenStreetMap data for geospatial visualization. By integrating relevant historical sources and location data, the code dynamically displays the approximate coordinates of pyramids and overlays them on current geographical references, facilitating comparative spatial analysis. This resource benefits students and researchers by enabling the study of pyramid distribution patterns, their relative distances, and nearby topographical features within an intuitive, user-friendly interface.,https://github.com/LSIND/map-of-Ancient-Egypt,,,,,,,,,,,,,,LSIND,,,,,,Lists and datasets,,Datasets,archhist-software-tool,,,,,https://archive.org/details/github.com-LSIND-map-of-Ancient-Egypt_-_2020-02-08_23-45-07
unstruwwel,"unstruwwel is an R package for automatically detecting and parsing historical date references from text data, enabling researchers to systematically study historical records. It uses advanced pattern recognition and string processing to identify approximate and partial date references, simplifying the analysis of archives, manuscripts, and textual corpora. The package can handle multiple date formats, including those with uncertain or incomplete data, and outputs normalized date formats to facilitate chronological modeling. By offering specialized functionalities for temporal data extraction, unstruwwel assists scholars in building robust research workflows for historical studies.",https://github.com/stefanieschneider/unstruwwel,,,,,,,,,,,,,,stefanieschneider,,,,,,Packages and libraries,R,Chronological modelling,archhist-software-tool,,,,,https://archive.org/details/github.com-stefanieschneider-unstruwwel_-_2021-01-20_07-46-30
MAX,"MAX is an advanced web-based software platform designed for the comparative analysis of museum databases, enabling researchers to explore and compare large collections of historical or archaeological data across multiple institutions. The platform was developed by an interdisciplinary team from LMU Munich. It provides data ingestion, statistical analysis, and dynamic visualizations to offer deeper insights into object relationships, provenances, or curatorial decisions. By providing flexible tools for import, transformation, and analysis, MAX fosters collaborative research among museums, universities, and academic communities, advancing digital humanities scholarship.",https://github.com/stefanieschneider/MAX,,,,,,,,,,,https://www.max.gwi.uni-muenchen.de/,,,stefanieschneider,Hubertus Kohle,Severin Burg,Helmut Küchenhoff,,,Standalone software,,Museums,archhist-software-tool,,,,,https://archive.org/details/github.com-stefanieschneider-MAX_-_2020-10-20_11-38-03
HumanOS,"HumanOS is a user-friendly mobile application designed for the streamlined and intuitive recording of human osteological remains from archaeological sites. By guiding researchers through standardized data entry forms, it helps ensure consistent, high-quality documentation of bone features, measurements, and context. The tool also supports metadata linking, morphological categorization, and on-site data validation, resulting in a robust, dynamic dataset. Developed for use by archaeologists, it significantly speeds up field data collection while enhancing the reliability of recorded information.",,,,,,,,,,,,https://www.humanos.cnrs.fr/,https://polipapers.upv.es/index.php/var/article/view/13422,10.4995/var.2020.13422,Rozenn Colleter,Jean-Baptiste Romain,Jean-Baptiste Barreau,,,,Packages and libraries,Mobile app,Zooarchaeology,Data management,archhist-software-tool,,,
ArchAIDE,"ArchAIDE is a research-driven software tool designed to streamline the identification and classification of archaeological pottery fragments through advanced digital technologies. Developed by an interdisciplinary team, the platform automates shape recognition, transforms captured images into structured data, and supports robust data analytics. By leveraging machine learning and pattern matching, ArchAIDE enhances the speed and accuracy of pottery identification, enabling archaeologists to focus on interpretation rather than routine tasks. This innovative tool fosters collaborative research, preserves documentation, and helps uncover new insights into ancient material culture.",https://github.com/barak-itkin/archaide-software,,,,,,,,,,,http://www.archaide.eu/,,,barak-itkin,,,,,,Standalone software,,Shape recognition,Ceramic analysis,archhist-software-tool,,,,"https://archive.org/details/github.com-barak-itkin-archaide-software_-_2021-02-27_14-51-52"
Archaeo-Term,"Archaeo-Term is a multilingual glossary that unifies specialized archaeological terminology from various languages, aiming to improve cross-linguistic communication and reduce ambiguity in archaeological research. By providing standardized definitions, usage guidelines, and relevant references, it eases collaborative work among experts and students across different linguistic backgrounds. This resource fosters better data sharing, broadens global opportunities, and promotes interdisciplinary dialogue within archaeology and the broader humanities.",,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1KYh9UUZTsc7BWfXh7YTqQqRz84cnJl3Y/edit#gid=802915297,https://unora.unior.it/handle/11574/195235,,Johanna Monti,Maria Pia di Buono,Giulia Speranza,Raffaele Manna,,,"Specifications, protocols and schemas",,Schemas and ontologies,,,,,,,
c14,"C14 is an R package that provides streamlined workflows for gathering, calibrating, and analyzing radiocarbon data in archaeology and related fields. It integrates tidy data principles for easier manipulation and interpretation of 14C datasets, enabling researchers to calibrate dates, visualize distributions, and examine temporal patterns. By offering robust functions and user-friendly syntax, the package aims to facilitate reproducible research, bridging advanced statistical methods with practical field applications. C14 fosters best practices in chronological modeling and extends support for interdisciplinary studies.",https://github.com/joeroe/c14,,,,,,,,,,,https://c14.joeroe.io,,,joeroe,,,,,,Packages and libraries,R,"Radiocarbon dating, calibration and sequencing",archhist-software-tool,,,,,https://archive.org/details/github.com-joeroe-c14_-_2021-05-06_14-30-31
piwigo-3dhop,piwigo-3dhop is a user-friendly plugin that integrates 3DHOP (3D Heritage Online Presenter) into the Piwigo photo gallery platform, enabling cultural heritage professionals, archaeologists, historians, and other researchers to present and explore interactive 3D models within a web-based collection. This plugin offers viewers an immersive way to inspect detailed reconstructions of artifacts, monuments, or virtual sites directly from their online galleries. By supporting user-friendly configuration and real-time rendering, piwigo-3dhop helps researchers share and visually analyze 3D data, making it a valuable tool for heritage documentation and educational initiatives.,https://github.com/joeroe/piwigo-3dhop,,,,,,,,,,,,,,joeroe,,,,,,Packages and libraries,Piwigo,3D modelling,archhist-software-tool,,,,,https://archive.org/details/github.com-joeroe-piwigo-3dhop_-_2020-08-12_12-09-51
rpaleoclim,"rpaleoclim is an R package that provides streamlined access to open paleoclimate datasets for scientific research, enabling effortless retrieval, manipulation, and visualization of historical climate information. By leveraging robust data structures and R’s ecosystem, it simplifies the exploration of multi-time-scale climate records, facilitating workflows that combine paleoclimate reconstructions with other forms of archaeological or geoscientific analysis. Designed for both efficiency and user-friendliness, rpaleoclim empowers researchers to investigate past environmental conditions and test hypotheses about climate-driven changes.","https://github.com/joeroe/rpaleoclim","","","","","","","","https://cran.r-project.org/package=rpaleoclim","","","https://rpaleoclim.joeroe.io","","","joeroe","","","","","Packages and libraries","R","API interfaces and web scrapers","Palaeoclimate modelling","archhist-software-tool","","","https://archive.org/details/github.com-joeroe-rpaleoclim_-_2019-10-03_11-01-37"
tavo-a27,"These data revolve around the distribution of ungulate mammals in the Middle East as documented by Uerpmann (1987). The dataset includes references to archaeological sites, species presence, and other relevant attributes that help researchers track patterns in ancient fauna. By providing a compilation of occurrence records gleaned from published literature, the resource aims to facilitate cross-cultural comparisons and deeper analyses in zooarchaeology, paleobiology, and historical ecology. This curated database helps highlight transformations in animal communities, offering an important reference point for future research.",https://github.com/joeroe/tavo-a27,,,,,,,,,,,,,10.5281/zenodo.3362929,joeroe,,,,,,Lists and datasets,,Datasets,Palaeobotany,,,,,https://archive.org/details/github.com-joeroe-tavo-a27_-_2019-10-01_07-38-25
baydem,"Baydem is an R package providing Bayesian tools to model and reconstruct past demography from data such as radiocarbon dates. By applying advanced Bayesian inference techniques, it estimates population size changes over time while accounting for uncertainties in the data calibration process. This flexible framework is particularly valuable for archaeology and other historical sciences, as it helps reveal human settlement patterns, cultural shifts, and demographic transitions. Baydem’s modular design and comprehensive documentation facilitate integration into broader research workflows, delivering rigorous, reproducible analyses of spatiotemporal population data.",https://github.com/eehh-stanford/baydem,,,,,,,,,,,https://eehh-stanford.github.io/baydem/,,,MichaelHoltonPrice,bocinsky,,,,,Packages and libraries,R,"Radiocarbon dating, calibration and sequencing",Palaeobotany,archhist-software-tool,,,https://archive.org/details/github.com-eehh-stanford-baydem_-_2021-04-09_19-24-36
allen-relations,"Allen-relations is an R function that leverages the Allen Algebra to compare indefinite intervals derived from Bayesian calibration. By translating uncertain time spans into formally recognized relationships—such as before, after, or overlapping—it offers a structured approach to analyzing chronological data in archaeology and related fields. Researchers can use it to refine event timelines, test hypotheses, and better interpret incomplete or ambiguous temporal evidence.",https://github.com/tsdye/allen-relations,,,,,,,http://tsdye.online/tsdye/posts/allen-relations/,,,,,,,tsdye,,,,,,Packages and libraries,R,Chronological modelling,archhist-software-tool,,,,https://archive.org/details/github.com-tsdye-allen-relations_-_2019-07-07_02-55-15
oxcAAR,"oxcAAR is an R package that integrates the chronologically oriented calibration software OxCal with R scripts. This package streamlines the process of calibrating and analyzing radiocarbon dates within R, facilitating efficient workflows for archaeological and historical research. By providing functions that interface directly with OxCal's robust calibration algorithms, oxcAAR enables researchers to seamlessly generate, manipulate, and visualize calibration outputs. With this tool, scholars can automate routine tasks, refine chronological models, and produce reproducible research outcomes in the field of radiocarbon dating and cultural heritage studies.",https://github.com/ISAAKiel/oxcAAR,,,,,,,,,,,,,,MartinHinz,nevrome,dakni,ctietze91,,,Packages and libraries,R,"Radiocarbon dating, calibration and sequencing","Chronological modelling","archhist-software-tool",,,,"https://archive.org/details/github.com-ISAAKiel-oxcAAR_-_2021-07-05_16-54-08"
cTransmission,"cTransmission is an R package that provides an Approximate Bayesian Computation framework to analyze cultural transmission from frequency data. It enables researchers to model and compare different cultural evolution scenarios, bridging simulation-based approaches and Bayesian inference. With flexible parameter settings and clear visual outputs, it facilitates robust investigation into how cultural traits emerge, spread, and persist. This tool is particularly suited for exploring cultural dynamics in archaeology and anthropology, making it a valuable resource for investigating the driving forces behind cultural change.",https://github.com/ercrema/cTransmission,,,,,,,,,,,,,,ercrema,Anne Kandler,,,,,Packages and libraries,R,Statistical analysis,Cultural evolution,archhist-software-tool,,,https://archive.org/details/github.com-ercrema-cTransmission_-_2020-05-14_17-43-37
nimbleCarbon,"nimbleCarbon extends the NIMBLE framework with specialized utility functions and probability distributions for Bayesian analyses of radiocarbon dates, assisting researchers in investigating shifts in population dynamics or cultural processes over time. By harnessing the changing frequencies of these dates, the package supports the robust modeling of chronological data, enabling more nuanced demographic inferences. nimbleCarbon is particularly suited to archaeologists and paleoecologists who seek to explore or visualize temporal patterns in a flexible, user-friendly environment.",https://github.com/ercrema/nimbleCarbon,,,,,,,,,,,,,,ercrema,,,,,,Packages and libraries,R,"Radiocarbon dating, calibration and sequencing, archhist-software-tool",,,,,,https://archive.org/details/github.com-ercrema-nimbleCarbon_-_2021-06-17_15-27-15
neiman1995,Neiman1995 is an interactive R Shiny application that demonstrates the modeling concepts presented in Neiman’s 'Stylistic Variation in Evolutionary Perspective,' focusing on cultural evolutionary and archaeological data. Through an intuitive interface, users can manipulate model parameters, visualize the outcomes in real time, and explore how stylistic traits might evolve under different conditions. This dynamic environment promotes a deeper understanding of evolutionary processes and fosters learning and experimentation in cultural and archaeological research.,https://github.com/nevrome/neiman1995,,,,,,,,,,,https://nevrome.shinyapps.io/neiman1995,,,nevrome,,,,,,Scripts,R,Educational resources and practical guides,Cultural evolution,archhist-software-tool,,,,https://archive.org/details/github.com-nevrome-neiman1995_-_2018-09-15_12-51-43
skyscapeR,"skyscapeR is an R package designed for data reduction, visualization, and analysis in skyscape archaeology, archaeoastronomy, and cultural astronomy. This tool helps researchers explore the relationship between celestial phenomena and archaeological sites or cultural artifacts. By providing functions to handle horizon data, star catalogs, and alignment calculations, it facilitates robust analyses of how past societies perceived and utilized the sky. With built-in visualization capabilities, skyscapeR aids in generating insights and fosters interdisciplinary collaborations between archaeology, astronomy, and cultural heritage studies.",https://github.com/f-silva-archaeo/skyscapeR,,,,,,,,,,,,,,f-silva-archaeo,,,,,,Packages and libraries,R,Archaeoastronomy,archhist-software-tool,,,,,https://archive.org/details/github.com-f-silva-archaeo-skyscapeR_-_2020-02-27_14-52-38
fastmaRching,"fastmaRching is a robust R package that implements the Fast Marching Method (FMM), initially proposed by Sethian (1996), with refinements by Silva and Steele (2012, 2014). It includes a spatial wrapper function that facilitates modeling of dispersal scenarios in geospatial contexts, making it particularly valuable for investigating prehistoric population movements. By combining mathematical efficiency with user-friendly tools, fastmaRching streamlines data analysis and simulation processes for researchers, enabling them to explore complex spatial phenomena and transformations in archaeology, ecology, and beyond.",https://github.com/f-silva-archaeo/fastmaRching,,,,,,,,https://cran.r-project.org/package=fastmaRching,,,,https://doi.org/10.1016/j.jas.2014.04.021,10.5281/zenodo.1204397,f-silva-archaeo,,,,,,Packages and libraries,R,Spatial analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-f-silva-archaeo-fastmaRching_-_2019-09-05_11-20-15
aDRAC,"Archive des Datations Radiocarbones d'Afrique centrale (aDRAC) is a resource that compiles radiocarbon dating results from Central Africa. It archives published data, associated metadata, and references for each date, enabling researchers to explore chronological frameworks across diverse sites. By centralizing this information, aDRAC supports comparative studies and fosters a deeper understanding of regional archaeological and historical timelines. The dataset includes essential contextual details and bibliographic sources, making it a valuable tool for scholars investigating human occupation, environmental changes, and cultural transitions in Central Africa.",https://github.com/dirkseidensticker/aDRAC,,,,,,,,,,,,,,dirkseidensticker,,,,,,Lists and datasets,,Datasets,"Radiocarbon dating, calibration and sequencing",,,,,https://archive.org/details/github.com-dirkseidensticker-aDRAC_-_2021-05-20_10-57-33
seriation,"Seriation is an R package that provides a comprehensive suite of methods for reordering matrices, dissimilarity matrices, dendrograms, and more. By implementing seriation, sequencing, and ordination techniques, it offers flexible approaches to identify underlying structures within data sets. The package also supports advanced visualizations, including optimally reordered heatmaps, color images, and clustering plots, as well as VAT and iVAT for assessing cluster tendency. Highly extensible, Seriation is widely applicable in fields like archaeology, bioinformatics, and social sciences.",https://github.com/mhahsler/seriation,,,,,,,,https://cran.r-project.org/package=seriation,,,,,,mhahsler,Christian Buchta,Kurt Hornik,Fionn Murtagh,"Michael Brusco, Stephanie Stahl, and Hans-Friedrich Koehn",,Packages and libraries,R,Statistical analysis,Seriation,archhist-software-tool,,,https://archive.org/details/github.com-mhahsler-seriation_-_2021-06-30_17-19-23
bleiglas,"Bleiglas is an R package that allows you to perform 3D tessellation with Voro++, and provides efficient methods for slicing these 3D polygons horizontally to produce two-dimensional cross-sections. It was originally designed for analyzing archaeological spatiotemporal datasets, but can be applied in diverse research scenarios. By enabling reproducible and flexible visualization, Bleiglas supports dynamic data transformation, facilitating advanced modeling and interpretation of 3D structures in R.",https://github.com/nevrome/bleiglas,,,,,,,,,,,,https://doi.org/10.21105/joss.03092,,nevrome,stschiff,,,,,Packages and libraries,R,Spatial analysis,3D modelling,archhist-software-tool,,,,"https://archive.org/details/github.com-nevrome-bleiglas_-_2021-04-10_13-49-19
CalPal-Database,"CalPal-Database is a comprehensive collection of radiocarbon dates developed by Bernhard Weninger (Universität zu Köln) as part of the CalPal software environment for archaeological research. The repository provides structured data that can be used to refine and calibrate radiocarbon dating across multiple contexts, ensuring more consistent analyses and interpretations. By centralizing these 14C records, the resource enables easier updating, sharing, and referencing of crucial chronological data, making it invaluable for researchers who rely on accurate chronological frameworks.",https://github.com/nevrome/CalPal-Database,,,,,,,,,,,,,,nevrome,,,,,,Lists and datasets,,Datasets,"Radiocarbon dating, calibration and sequencing",,,,,https://archive.org/details/github.com-nevrome-CalPal-Database_-_2020-08-30_12-27-59
neolithicR,"NeolithicR is a Shiny web application that allows archaeologists and researchers to discover, filter, and analyze radiocarbon dating samples from multiple reference databases. Built on top of the R package c14bazAAR, it helps users visualize and calibrate archaeologically relevant radiocarbon data. The app's interface is user-friendly, featuring interactive filtering options and dynamic visual outputs for cross-comparing different radiocarbon datasets. By integrating curated data sources and direct calibration functionalities, NeolithicR provides a powerful environment for investigating chronological patterns and drawing meaningful insights in archaeological or prehistoric research.",https://github.com/nevrome/neolithicR,,,,,,,,,,,https://www.neolithicrc.de,,,nevrome,dirkseidensticker,,,,,Scripts,R,API interfaces and web scrapers,"Radiocarbon dating, calibration and sequencing",archhist-software-tool,,,,https://archive.org/details/github.com-nevrome-neolithicR_-_2019-11-18_08-37-30
idaifieldR,"idaifieldR is an R package designed to seamlessly integrate data from the iDAI.field database, an archaeological information system maintained by the German Archaeological Institute, into the R environment. By providing flexible data retrieval functions, it enables researchers to effortlessly access, transform, and analyze excavation records, metadata, and other relevant information. The package supports iterative data workflows by ensuring that all data from the iDAI.field platform remains transparent, reproducible, and easily shareable in the context of archaeological or historical research. With idaifieldR, scholars benefit from a streamlined connection between field data and advanced statistical or visualization workflows.",https://github.com/lsteinmann/idaifieldR,,,,,,,,,,,,,,lsteinmann,,,,,,Packages and libraries,R,API interfaces and web scrapers,archhist-software-tool,,,,,https://archive.org/details/github.com-lsteinmann-idaifieldR_-_2021-04-13_16-34-48
iDAI.field,"iDAI.field is an open source field research documentation system developed by the German Archaeological Institute (DAI). It integrates GIS, photo management, and database functionalities to streamline archaeological workflows, reducing the need for multiple separate systems. Its flexible data model supports both new and legacy excavation data. Because it is open source, third parties can freely adopt and adapt it to their requirements, making it a versatile solution for archaeological field projects.",https://github.com/dainst/idai-field,,,,,,,,,,,https://field.dainst.org/#/,,,daiinst,,,,,,Standalone software,,Data management,archhist-software-tool,,,,,https://archive.org/details/github.com-dainst-idai-field_-_2021-07-06_16-20-43
