item_name,description,github,gist,gitlab,bitbucket,launchpad,twitter,youtube,blogpost,cran,pypi,codeberg,website,publication,DOI,author1_name,author2_name,author3_name,author4_name,author5_name,author6_name,category,platform,tag1,tag2,tag3,tag4,tag5,notes,internetarchive
BasicMapping,"BasicMapping is an R-based script or module that streamlines the process of working with geospatial data, particularly for archaeological or historical research. By allowing users to import, visualize, and analyze map data within R, it helps scholars integrate location-based insights into their broader research workflows. With features for loading shapefiles, layering multiple map-based data sources, and customizing outputs for publication, BasicMapping supports reproducible and flexible cartographic analyses. Its straightforward interface and compatibility with standard R packages make it a useful tool for archaeologists and historians requiring robust plotting and geographic information management.",,,,,,,,,,,,http://www.mattpeeples.net/modules/BasicMapping.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,archhist-software-tool,,,,,
PointPattern,"PointPattern is an R script that performs advanced analyses on map-based data sets, allowing researchers to identify, explore, and visualize the spatial distributions of points within a given area. This tool is particularly useful for archaeological or historical site analysis, enabling the detection of clustering or dispersion of findings. By analyzing these patterns, researchers can better understand settlement locations, trade routes, or artifact distributions.",,,,,,,,,,,,http://www.mattpeeples.net/modules/PointPattern.html,,,mpeeples2008,,,,,,Scripts,R,Statistical analysis,archhist-software-tool,,,,,
sindwem,"This specialized R package, named sindwem, provides a single function that calculates the 'sum of individual weighted means' (SIWM), building on a methodology originally presented in 1988 by Elisabeth Fentress and Philip Perkins. By combining multiple data points in archaeological contexts, it helps researchers achieve more accurate aggregated metrics for their analyses. Its streamlined approach to data processing, specifically tailored for archaeological research, ensures ease of use while delivering reliable statistical outputs that aid in sophisticated data interpretation and research insights.",,,,https://bitbucket.org/steko/mpi.r/src/default/,,,,,,,,,,,steko,,,,,,Packages and libraries,R,Statistical analysis,archhist-software-tool,,,,,
Explographe,"Explographe is a LibreOffice Calc-based application designed to serialize graphic matrices from counting tables. It produces either a serograph or a PVI matrograph, enabling a distinctive visualization of relationships across variables and data lines. By focusing on the percentage of independence values, it offers flexible analyses, particularly for non-chronologically oriented datasets. Developed to streamline exploratory data handling, Explographe supports historical or archaeological research by highlighting subtle patterns that might otherwise be overlooked in traditional tabular views.",,,,,,,,,,,,https://abp.hypotheses.org/le-programme-bassin-parisien/les-projets/les-projets-associes-au-programme/outils-danalyse-graphique-des-donnees,,,Bruno Desachy,,,,,Packages and libraries,LibreOffice Calc,Statistical analysis,archhist-software-tool,,,,,,
predictSource,"This package is used to analyze whether samples from multiple sources can be separated, predict the sources of unknown samples, and evaluate the validity of those predictions. The sample data can be both quantitative and qualitative. It includes functions for creating unified analysis files from multiple data sets, performing exploratory data analysis, applying multivariate statistical methods (e.g., principal components, classification trees, random forests) to determine source separation, predict sources for unknown samples, and assess the accuracy of those predictions.",https://github.com/benmarwick/predictSource,,,,,,,,,,,,,,benmarwick,,,,,,Packages and libraries,R,Statistical analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-benmarwick-predictSource_-_2020-06-23_20-14-59
Artifact_Class_Diversity,"Artifact_Class_Diversity is an R-based suite of scripts designed to calculate and compare artifact class diversity across multiple geographic regions. By processing archaeological datasets, this tool aids researchers in assessing how cultural and environmental factors shape the distribution and abundance of material remains. It automates calculations of artifact variety, helping scholars generate insights into broader patterns of artifact diversity and their underlying determinants.",https://github.com/taphocoenose/Artifact_Class_Diversity,,,,,,,,,,,,,,taphocoenose,,,,,,Scripts,R,Spatial analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-taphocoenose-Artifact_Class_Diversity_-_2020-10-06_16-50-13
ede_interpolation,"EDE Interpolation is a QGIS 3 plugin that offers spatio-temporal interpolation of archaeological settlement data. By analyzing location-based information and changes over time, it helps researchers visualize and understand settlement patterns more accurately. This tool automates complex interpolation tasks, streamlining workflows for archaeologists who require dynamic, data-driven insights into how human habitation evolves across varied landscapes.",https://github.com/demjanp/ede_interpolation,,,,,,,,,,,https://plugins.qgis.org/plugins/ede_interpolation/,,,demjanp,,,,,,Packages and libraries,QGIS,Spatial analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-demjanp-ede_interpolation_-_2020-06-05_13-54-37
FuzzyViewshed,"FuzzyViewshed is an ArcGIS toolbox designed to calculate fuzzy viewsheds, an advanced form of line-of-sight or visibility analysis. By applying fuzzy logic, it can incorporate uncertainty or gradual transitions in visibility, offering researchers and GIS professionals a more nuanced understanding of topographic constraints and vantage points across a given landscape. This approach is particularly useful in contexts where partial visibility or ambiguous thresholds are relevant, enabling more realistic scenario modeling and robust spatial analysis. The tool extends beyond binary classification, thus refining perspectives on how terrain affects visibility studies for a variety of applications.",https://github.com/gianmarcoalberti/FuzzyViewshed,,,,,,,,,,,,,,gianmarcoalberti,,,,,,Packages and libraries,ArcGIS,Spatial analysis,Viewshed analysis,archhist-software-tool,,,,https://archive.org/details/github.com-gianmarcoalberti-FuzzyViewshed_-_2017-10-31_07-54-32
QGIS-visibility-analysis,"QGIS-visibility-analysis is a QGIS plugin that performs advanced viewshed calculations from specified observer points on digital elevation models. Designed for multi-point analysis, it helps researchers measure visibility extents, detect line-of-sight obstructions, and generate intervisibility networks between sets of points, making it ideal for site planning or landscape studies. Its efficient algorithms handle large datasets and reduce computation times, offering robust modeling of features like horizon depth. The plugin provides valuable insights for disciplines such as archaeology, environmental science, and urban planning, where accurate visibility analysis is essential.",https://github.com/zoran-cuckovic/QGIS-visibility-analysis,,,,,,,,,,,http://www.zoran-cuckovic.from.hr/QGIS-visibility-analysis/,,,zoran-cuckovic,,,,,,Packages and libraries,QGIS,Spatial analysis,Viewshed analysis,archhist-software-tool,,,,https://archive.org/details/github.com-zoran-cuckovic-QGIS-visibility-analysis_-_2021-01-14_19-11-48
senscape,"SENscape is a specialized QGIS plugin designed for topographic analysis tasks such as modeling how humans perceive landscapes using the QGIS viewshed module. By integrating advanced geographic data processing and visualization, SENscape helps researchers understand visual exposure, vantage points, and the interplay between terrain and observer perspective. The tool is beneficial for a range of fields—including archaeology, landscape studies, and environmental planning—where understanding vantage or visibility is critical. Users can customize parameters to capture how topography shapes what is (and is not) visible.",https://github.com/zoran-cuckovic/senscape,,,,,,,,,,,,,,zoran-cuckovic,,,,,,Packages and libraries,QGIS,Spatial analysis,Viewshed analysis,archhist-software-tool,,,,https://archive.org/details/github.com-zoran-cuckovic-senscape_-_2017-09-24_10-34-14
ArchaeoLines,"The ArchaeoLines plugin extends Stellarium’s functionality by displaying declination arcs relevant to archaeo- or ethnoastronomical studies. By overlaying these arcs onto Stellarium’s star charts, researchers can visualize potential alignments between ancient structures and celestial markers. Its features help astronomers, historians, and archaeological researchers examine how past cultures observed and interpreted the sky. Through customizable settings, users can measure and analyze specific archaeoastronomical phenomena, enabling deeper insights into cultural and historical astronomical knowledge.",https://github.com/Stellarium/stellarium/tree/master/plugins/ArchaeoLines,,,,,,,,,,,http://stellarium.sourceforge.net/wiki/index.php/ArchaeoLines_plugin,,,stellarium,,,,,,Packages and libraries,Stellarium,Spatial analysis,Viewshed analysis,Archaeoastronomy,archhist-software-tool,,,
pathAAR,"pathAAR is an open-source R package that reconstructs paths using archaeological data such as site distributions or monument locations. The software is aimed at modeling and evaluating parameters of infrastructures in a historical or archaeological context. It helps archaeologists and historians examine walking routes, roads, or other communication lines. pathAAR also offers tools for analyzing the importance or accessibility of certain nodes while validating model assumptions. Through data-driven approaches, it fosters deeper understanding of settlement patterns and connectivity in past societies.",https://github.com/ISAAKiel/pathAAR,,,,,,,,,,,,,,ISAAKiel,,,,,,Packages and libraries,R,Spatial analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-ISAAKiel-pathAAR_-_2020-11-02_14-32-45
TRANSIT,"TRANSIT is a specialized GIS-driven toolkit designed to estimate and model the travel duration of ancient sail-powered navigation in maritime archaeology. By leveraging geospatial data, historical maritime routes, and wind patterns, it helps researchers and students alike explore how ancient seafaring times, routes, and strategic decisions were shaped. The tool integrates user-defined parameters, processes dynamic inputs, and yields insightful results relevant to the study of trade connections, colonization patterns, and cultural interactions.",https://github.com/gianmarcoalberti/TRANSIT,,,,,,,,,,,,,,gianmarcoalberti,,,,,,Packages and libraries,ArcGIS,Spatial analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-gianmarcoalberti-TRANSIT_-_2017-12-17_09-17-29
chrono_spatial_modelling,"Chrono_spatial_modelling is a specialized Python-based tool designed for analyzing and visualizing settlement activities over time and space. It integrates chronological data with GIS-based approaches, enabling researchers to investigate how settlements evolve through temporal layering, demographic changes, and regional expansions or contractions. By modeling the interplay between chronological scales and spatial parameters, it helps archaeologists and historians produce dynamic reconstructions, discover meaningful patterns, and develop new hypotheses for further study. This tool exemplifies how computational methods can inform the interpretation of complex, multi-faceted historical datasets.",https://github.com/demjanp/chrono_spatial_modelling,,,,,,,,,,,,,,demjanp,,,,,,Guides,Python,Spatial analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-demjanp-chrono_spatial_modelling_-_2019-11-26_16-13-58
QGIS-topographic-networks,"QGIS-topographic-networks is a specialized extension that allows users to systematically analyze topographic relationships within an area. By generating a network connecting pixels based on their differences in height, this tool can help researchers understand morphological changes, drainage paths, and other landform interactions. It can be especially valuable in archaeological and environmental studies that require detailed analysis of terrain constraints, site location patterns, or accessibility routes. With its integration into QGIS, it supports streamlined workflows for advanced geospatial analysis.",https://github.com/zoran-cuckovic/QGIS-topographic-networks,,,,,,,,,,,,,,zoran-cuckovic,,,,,,Packages and libraries,QGIS,Spatial analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-zoran-cuckovic-QGIS-topographic-networks_-_2016-06-29_12-43-38
leastcostpath,"This R package calculates Least Cost Paths (LCPs), widely used in archaeological and ecological research to explore movement across landscapes. It enables the creation of cost surfaces from slope, environmental variables, or user-defined inputs and can combine multiple cost functions. The package not only calculates and visualizes LCPs but also provides validation tools to assess their accuracy against existing paths. By modeling movement across varied terrain, it helps researchers better understand connectivity, travel routes, and the influence of physical factors on accessibility.",https://github.com/josephlewis/leastcostpath,,,,,,,,,,,,,,josephlewis,,,,,,Packages and libraries,R,Spatial analysis,archhist-software-tool,,,,,https://archive.org/details/github.com-josephlewis-leastcostpath_-_2021-01-28_18-03-22
field-photographs,"Field-Photographs is an Android application designed specifically for archaeologists gathering photographic documentation during field expeditions. The app streamlines capturing images, attaching relevant metadata (e.g., site location or artifact information), and organizing photos for further analysis. By offering integrated workflows that facilitate the documentation of excavation sites, it helps researchers systematically record findings, reduce handling errors, and ensure data accuracy. Developed by the anatolian team, Field-Photographs is an invaluable resource for archaeologists who need a robust, organized approach to visual data collection. This user-friendly tool aims to enhance documentation, thereby contributing to more effective archaeological research.",https://github.com/anatolian/field-photographs,,,,,,,,,,,,,,anatolian,,,,,,Packages and libraries,Mobile app,Site mapping,archhist-software-tool,,,,,https://archive.org/details/github.com-anatolian-field-photographs_-_2016-03-06_19-58-32
archaeological-survey-location-collector,"Archaeological Survey Location Collector is a specialized mobile app designed to streamline the process of gathering data in archaeological field surveys. It allows researchers to capture and store precise geographic coordinates, high-resolution photographs, and relevant contextual information. The user-friendly interface supports offline data entry and sync capabilities, ensuring flexible operation even in remote terrains. The collected data can be exported for in-depth analysis and archiving, promoting detailed documentation of finds and features.",https://github.com/anatolian/archaeological-survey-location-collector,,,,,,,,,,,,,,anatolian,,,,,,Packages and libraries,Mobile app,Site mapping,archhist-software-tool,,,,,https://archive.org/details/github.com-anatolian-archaeological-survey-location-collector_-_2018-06-27_09-05-36
ArkGrid,"A QGIS plugin that assists archaeologists with establishing, managing, and optimizing local site grids for excavations. ArkGrid helps researchers align geospatial data with custom reference systems, ensuring accurate mapping and efficient data management for field projects. By enabling the creation and transformation of site grids, this tool fosters deeper insights into archaeological sites. Researchers can easily overlay, visualize, and analyze field data within a robust GIS environment, ultimately streamlining the excavation and documentation process. ArkGrid is particularly suited for both large-scale projects and smaller explorations involving specialized coordinate systems.",https://github.com/lparchaeology/ArkGrid,,,,,,,,,,,,,,L-P Archaeology,,,,,,Packages and libraries,QGIS,Site mapping,archhist-software-tool,,,,,https://archive.org/details/github.com-lparchaeology-ArkGrid_-_2016-09-02_16-36-40
trenchdrawer,"TrenchDrawer is a QGIS plugin that aims to help archaeologists, geologists, and other researchers visually design and document trench layouts on site maps. By offering specialized drawing tools and features, it enables the creation, modification, and annotation of trench outlines directly within QGIS. With this plugin, users can incorporate geospatial data for accurate mapping, plan excavation strategies, and produce visually informative project documentation. The tool supports archaeological fieldwork by enabling better planning and analyzing of uncovered areas, helping to interpret site data more effectively.",https://github.com/MikeJJohnson/trenchdrawer,,,,,,,,,,,,,,MikeJJohnson,,,,,,Packages and libraries,QGIS,Site mapping,archhist-software-tool,,,,,https://archive.org/details/github.com-MikeJJohnson-trenchdrawer_-_2016-05-10_08-42-06
fieldwalkr,"Fieldwalkr is an R package that provides advanced spatial sampling and survey simulation capabilities. With an emphasis on fieldwalking strategies, it assists researchers in planning, executing, and evaluating systematic site surveys. By offering a range of sampling methods, coverage and detection modeling, and user-friendly plotting functions, Fieldwalkr enables archaeologists and historical researchers to optimize fieldwork design and data collection. Through simulation of real-world conditions, it helps refine methodological approaches and analyze potential survey outcomes before actual on-site exploration.",https://github.com/joeroe/fieldwalkr,,,,,,,,,,,,,,joeroe,,,,,,Packages and libraries,R,Site mapping,archhist-software-tool,,,,,https://archive.org/details/github.com-joeroe-fieldwalkr_-_2019-03-18_08-56-49
ArkScan,"ArkScan is a specialized graphical user interface (GUI) designed to streamline the process of digitizing and archiving single context plans for archaeological projects. By guiding researchers through a straightforward scanning workflow, it helps create accurate digital images of paper-based site records, ensuring more efficient data management and preservation. With its user-friendly layout and integration with scanning hardware, ArkScan caters to fieldwork and laboratory settings, simplifying data capture and facilitating research tasks such as site mapping, stratigraphic analysis, and long-term documentation.",https://github.com/lparchaeology/ArkScan,,,,,,,,,,,,,,L-P Archaeology,,,,,,Standalone software,,Site mapping,archhist-software-tool,,,,,https://archive.org/details/github.com-lparchaeology-ArkScan_-_2015-07-28_08-06-46
ArkSpatial,"ArkSpatial is a specialized QGIS plugin designed to streamline the digitization of archaeological site plans created with the Museum of London Single Context Recording methodology. By guiding users through each context layer, this tool helps transform field drawings into accurate geospatial data, supporting consistent documentation and analysis. Researchers can efficiently capture and process site details, enabling a deeper understanding of archaeological sequences and enhanced collaboration among project team members.",https://github.com/lparchaeology/ArkSpatial,,,,,,,,,,,,,,L-P Archaeology,,,,,,Packages and libraries,QGIS,Site mapping,archhist-software-tool,,,,,https://archive.org/details/github.com-lparchaeology-ArkSpatial_-_2018-09-22_18-11-06
sitedefinition,"sitedefinition is an R-based tool designed to demonstrate how feature densities can inform archaeological site boundaries. By systematically analyzing and visualizing distributions of artifacts and other cultural features, it allows researchers to refine or test models of site definition, enhancing the accuracy of field surveys and interpretations. This package automates data-driven methods, thus facilitating dynamic exploration of archaeological datasets.",https://github.com/SCSchmidt/sitedefinition,,,,,,,,,,,,,,SCSchmidt,,,,,,Packages and libraries,R,Site mapping,archhist-software-tool,,,,,https://archive.org/details/github.com-SCSchmidt-sitedefinition_-_2019-09-05_16-30-54
ArkMatrix,"In the archaeological recording processes, the Harris Matrix is a widely used method to represent the temporal succession of depositions. ArkMatrix is a software tool developed as part of the Archaeological Recording Kit (ARK) to facilitate the creation, editing, and analysis of Harris Matrices. It allows archaeologists to interpret and visualize complex stratigraphic relationships, ensuring more accurate data management and fostering collaboration among researchers. Through a user-friendly interface, ArkMatrix actively processes excavation context data, thereby streamlining the generation of reliable stratigraphic diagrams.",,,https://gitlab.com/arklab/ArkMatrix,,,,,,,,,,,,arklab,,,,,,Packages and libraries,Python,Harris matrix,archhist-software-tool,,,,,https://archive.org/details/gitlab.com-arklab-ArkMatrix_-_2020-03-31_10-32-20
harris2graph,"harris2graph is a Python script that helps archaeologists or researchers convert data from the LST file format used by older Harris matrix software (BASP Harris, Stratify, and ArchEd) into widely supported graph file formats. By bridging the gap between these specialized, outdated systems and more modern visualization or analysis tools, it assists in preserving, reusing, and sharing archaeological stratification data. The script automates much of the necessary data parsing and translation, thereby enabling users to more easily integrate their data into contemporary graph analysis workflows.",https://github.com/lparchaeology/harris2graph/,,,,,,,,,,,,,,L-P Archaeology,,,,,,Packages and libraries,Python,Harris matrix,archhist-software-tool,,,,This seems to stem from prior work done at https://github.com/jlayt/harris2gv,https://archive.org/details/github.com-lparchaeology-harris2graph_-_2016-01-28_10-44-01
Harris-matrix-legacy,"This Python-based project uses Graphviz to generate a Harris Matrix from archaeological stratigraphy data, offering a structured means to visualize the relative relationships and chronological sequence of excavated layers. By programmatically interpreting input data, it automates the creation of matrix diagrams that aid researchers in analyzing, understanding, and presenting complex stratigraphic information essential to archaeology.",,,,,,,,https://codeberg.org/steko/harris-matrix-legacy,,,,https://www.iosa.it/2008/08/27/harris-matrix-with-graphviz-a-draft-application-with-python/,,,steko,iosa,,,,,Packages and libraries,Python,Harris matrix,archhist-software-tool,,,,,
harris-matrix,"In archaeology, a Harris matrix is used to represent the chronological relationships among stratigraphic units in an excavation or site. This script can generate Graphviz DOT files to produce these diagrams automatically, supporting researchers by helping them visualize complex stratigraphic relationships. In addition, it includes the capacity to integrate Bayesian chronological models, making it easier to analyze and interpret dating sequences. The software thus offers a streamlined approach to building and visualizing archaeological relationships as part of a broader research workflow.",https://github.com/tsdye/harris-matrix/,,,,,,,,,,,http://tsdye.online/harris-matrix/homepage/,,,tsdye,,,,,,Packages and libraries,Lisp,Harris matrix,archhist-software-tool,,,,,https://archive.org/details/github.com-tsdye-harris-matrix_-_2019-08-27_02-15-00
harris-matrix,"This open-source tool provides an interactive environment for rendering and analyzing Harris Matrices, which are diagrams used in archaeology to represent the stratigraphic relationships between layers or features. Leveraging D3.js and KLayJS, the software generates dynamic, customizable visualizations in a web-based interface. Users can inspect, reorganize, and interpret archaeological sequence data in real time, making it easier to identify chronological relationships, overlapping contexts, and site-specific nuances. By providing an intuitive layout and zooming or panning features, the tool significantly enhances the clarity and accessibility of complex stratigraphic data.",https://github.com/semerj/harris-matrix,,,,,,,,,,,,,,semerj,,,,,,Standalone software,,Harris matrix,archhist-software-tool,,,,,https://archive.org/details/github.com-semerj-harris-matrix_-_2016-05-29_22-11-13
