zotero_key,item_type,title,creators,date,publication_title,publisher,doi,url,abstract,all_tags,all_collections,validity_status,is_valid
BIKG77G9,webpage,Research Guides: Research Impact Metrics: Bibliometrics / Citations,"Rachel, Miles",,,,,https://guides.lib.vt.edu/c.php?g=946995&p=6827612,"A guide for those wanting to use research impact metrics for evaluation, analytics, and reviews, e.g., promotion & tenure.",Not-relevant; source: perplexity,Not-relevant,not-relevant,False
ZEBSEGWP,journalArticle,"Visibility, impact, and applications of bibliometric software tools through citation analysis","Robert, Tomaszewski",2023,Scientometrics,,10.1007/s11192-023-04725-2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10234239/,"This study examines the visibility, impact, and applications of bibliometric software tools in the peer-reviewed literature through a “Cited Reference Search” using the Web of Science (WOS) database. A total of 2882 citing research articles to eight bibliometric software tools were extracted from the WOS Core Collection between 2010 and 2021. These citing articles are analyzed by publication year, country, publication title, publisher, open access level, funding agency, and WOS category. Mentions of bibliometric software tools in Author Keywords and KeyWords Plus are also compared. The VOSviewer software is utilized to identify specific research areas by discipline from the keyword co-occurrences of the citing articles. The findings reveal that while bibliometric software tools are making a noteworthy impact and contribution to research, their visibility through referencing, Author Keywords, and KeyWords Plus is limited. This study serves as a clarion call to raise awareness and initiate discussions on the citing practices of software tools in scholarly publications.",Not-relevant; source: perplexity,Not-relevant,not-relevant,False
HEL7XPFP,journalArticle,Bibliometrics: tracking research impact by selecting the appropriate metrics,"Ashok, Agarwal; Damayanthi, Durairajanayagam; Sindhuja, Tatagari; Sandro C, Esteves; Avi, Harlev; Ralf, Henkel; Shubhadeep, Roychoudhury; Sheryl, Homa; Nicolás Garrido, Puchalt; Ranjith, Ramasamy; Ahmad, Majzoub; Kim Dao, Ly; Eva, Tvrda; Mourad, Assidi; Kavindra, Kesari; Reecha, Sharma; Saleem, Banihani; Edmund, Ko; Muhammad, Abu-Elmagd; Jaime, Gosalvez; Asher, Bashiri",2016,Asian Journal of Andrology,,10.4103/1008-682X.171582,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4770502/,"Traditionally, the success of a researcher is assessed by the number of publications he or she publishes in peer-reviewed, indexed, high impact journals. This essential yardstick, often referred to as the impact of a specific researcher, is assessed through the use of various metrics. While researchers may be acquainted with such matrices, many do not know how to use them to enhance their careers. In addition to these metrics, a number of other factors should be taken into consideration to objectively evaluate a scientist's profile as a researcher and academician. Moreover, each metric has its own limitations that need to be considered when selecting an appropriate metric for evaluation. This paper provides a broad overview of the wide array of metrics currently in use in academia and research. Popular metrics are discussed and defined, including traditional metrics and article-level metrics, some of which are applied to researchers for a greater understanding of a particular concept, including varicocele that is the thematic area of this Special Issue of Asian Journal of Andrology. We recommend the combined use of quantitative and qualitative evaluation using judiciously selected metrics for a more objective assessment of scholarly output and research impact.",Not-relevant; source: perplexity,Not-relevant,not-relevant,False
FW63T4MX,blogPost,Life cycle assessment with SimaPro,,,,,,https://simapro.com/life-cycle-assessment/,"Stay up to date with the latest LCIA methods and databases through SimaPro, and deliver high-quality sustainability results.",Not-relevant; source: perplexity,Not-relevant,not-relevant,False
MI89CND9,journalArticle,Evaluation in Life Cycle of Information Technology (ELICIT) Framework: Supporting the Innovation Life Cycle from Business Case Assessment to Summative Evaluation,"Polina V., Kukhareva; Charlene, Weir; Guilherme Del, Fiol; Gregory A., Aarons; Teresa Y., Taft; Chelsey R., Schlechter; Thomas J., Reese; Rebecca L., Curran; Claude, Nanjo; Damian, Borbolla; Catherine J, Staes; Keaton L., Morgan; Heidi S., Kramer; Carole H., Stipelman; Julie H., Shakib; Michael C., Flynn; Kensaku, Kawamoto",2022-3,Journal of biomedical informatics,,10.1016/j.jbi.2022.104014,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8959015/,"Objective:
Our objective was to develop an evaluation framework for electronic health record (EHR)-integrated innovations to support evaluation activities at each of four information technology (IT) life cycle phases: planning, development, implementation, and operation.

Methods:
The evaluation framework was developed based on a review of existing evaluation frameworks from health informatics and other domains (human factors engineering, software engineering, and social sciences); expert consensus; and real-world testing in multiple EHR-integrated innovation studies.

Results:
The resulting Evaluation in Life Cycle of IT (ELICIT) framework covers four IT life cycle phases and three measure levels (society, user, and IT). The ELICIT framework recommends 12 evaluation steps: 1) business case assessment; 2) stakeholder requirements gathering; 3) technical requirements gathering; 4) technical acceptability assessment; 5) user acceptability assessment; 6) social acceptability assessment; 7) social implementation assessment; 8) initial user satisfaction assessment; 9) technical implementation assessment; 10) technical portability assessment; 11) long-term user satisfaction assessment; and 12) social outcomes assessment.

Discussion:
Effective evaluation requires a shared understanding and collaboration across disciplines throughout the entire IT life cycle. In contrast with previous evaluation frameworks, the ELICIT framework focuses on all phases of the IT life cycle across the society, user, and IT levels. Institutions seeking to establish evaluation programs for EHR-integrated innovations could use our framework to create such shared understanding and justify the need to invest in evaluation.

Conclusion:
As health care undergoes a digital transformation, it will be critical for EHR-integrated innovations to be systematically evaluated. The ELICIT framework can facilitate these evaluations.",Not-relevant; source: perplexity,Not-relevant,not-relevant,False
B8NLT742,thesis,Sustainable Security: Exploring Longevity Challenges and Solutions for IoT,"Conner John, Bradley",2023,,,,https://repository.library.carleton.ca/concern/etds/np193b263,,Not-relevant; source: perplexity,Not-relevant,not-relevant,False
I775MJUZ,preprint,The Evolution of Empirical Methods in Software Engineering,"Michael, Felderer; Guilherme Horta, Travassos",2019,,,10.48550/ARXIV.1912.11512,https://arxiv.org/abs/1912.11512,"Empirical methods like experimentation have become a powerful means to drive the field of software engineering by creating scientific evidence on software development, operation, and maintenance, but also by supporting practitioners in their decision making and learning. Today empirical methods are fully applied in software engineering. However, they have developed in several iterations since the 1960s. In this chapter we tell the history of empirical software engineering and present the evolution of empirical methods in software engineering in five iterations, i.e., (1) mid-1960s to mid-1970s, (2) mid-1970s to mid-1980s, (3) mid-1980s to end of the 1990s, (4) the 2000s, and (5) the 2010s. We present the five iterations of the development of empirical software engineering mainly from a methodological perspective and additionally take key papers, venues, and books, which are covered in chronological order in a separate section on recommended further readings, into account. We complement our presentation of the evolution of empirical software engineering by presenting the current situation and an outlook in Sect. 4 and the available books on empirical software engineering. Furthermore, based on the chapters covered in this book we discuss trends on contemporary empirical methods in software engineering related to the plurality of research methods, human factors, data collection and processing, aggregation and synthesis of evidence, and impact of software engineering research.",FOS: Computer and information sciences; Not-relevant; Software Engineering (cs.SE); source: perplexity,Not-relevant,not-relevant,False
68E3K3AN,journalArticle,"Software Evolution: Past, Present and Future","P I, Okwu; I N, Onyeje",2014,American Journal of Engineering Research,,,,"Change, being a fact of life, is inevitable even in software systems. On its own part, software has become both omnipresent and vital in our information-based society which is highly dependent on computers and software. Software need to be updated regularly to ensure preservation and maintenance of their values. There is therefore the need for software to evolve. In this paper, the concept and importance of evolution are explained while emphasis is laid on Lehman’s laws and perspectives of software evolution. Also, the relationships and differences between software maintenance and software evolution are brought to the fore. The laws highlighted that a software system must be frequently modified; otherwise it gradually becomes less adequate in use. It is pointed out that software lifecycle undergoes a number of distinct stages. There is a review of various software development models. Despite the challenges facing software evolution, the emerging trends are open source software evolution and unanticipated software evolution.",predatory; source: perplexity; ⛔ No DOI found,Predatory,predatory,False
BWRDMJT9,report,Guidelines for Funding Proposals on Research Software Sustainability,"German Research, Foundation (DFG)",2015,,,,http://www.dfg.de/,"These DFG guidelines specify how proposals seeking to enhance or sustain existing research software should articulate a clear sustainability concept, including documentation, archiving, and community use. The guidelines prioritize open licensing, collaborative development, and planning for software beyond the original project. Part of a wider push by DFG to recognize software as a key research output.",DFG; Germany; Unusable; grant guidelines; open source; software sustainability; source: ChatGPT-DR,Unusable,unusable,False
GKK6RQSS,blogPost,Day in the Software Life: How Solr Supports Sustainability,"Swithun, Crowe",2017,,,,https://library.wp.st-andrews.ac.uk/2017/05/26/software-sustainability-institute-blog-post/,"In this blog post, Swithun Crowe reflects on a typical day at the Software Sustainability Institute, illustrating how tools like Solr are used to handle large volumes of XML documents. The post highlights the practical challenges and solutions in managing data and ensuring that software remains robust and sustainable.",Solr; Unusable; data management; persistence; research infrastructure; software sustainability; source: ChatGPT-DR,Unusable,unusable,False
WZRGHYXN,document,The case for sustainable computing in research: Lessons from open-source projects,"G., Wilson",2015,,,,https://www.software.ac.uk/blog/the-case-for-sustainable-computing-in-research-lessons-from-open-source-projects,Wilson examines case studies from open-source projects to illustrate how sustainable computing practices can be integrated into research software development. The post emphasizes the role of community collaboration and open standards in ensuring that software remains robust and maintainable over time.,Unusable; community collaboration; longevity; open source; research software; source: ChatGPT-DR; sustainable computing,Unusable,unusable,False
KD6I2IEQ,document,CITATION files: A small step towards long-term software persistence,"G., Wilson",2013,,,,https://www.software.ac.uk/blog/citation-files-small-step-towards-long-term-software-persistence,"Wilson advocates for the use of CITATION files to clearly document how software should be cited. This post explains that embedding citation metadata within a project can significantly enhance the traceability, attribution, and long-term persistence of research software.",CITATION file; Unusable; digital longevity; metadata; software persistence; software sustainability; source: ChatGPT-DR,Unusable,unusable,False
XWTM8DRN,document,Sustainable software: A blueprint for long-term research impact,Software Sustainability Institute,2015,,,,https://www.software.ac.uk/blog/sustainable-software-blueprint-long-term-research-impact,"This blog post outlines a strategic blueprint for achieving sustainability in research software. It discusses the essential components—such as community engagement, funding models, and technical best practices—required to ensure that software remains viable and impactful over the long term.",Unusable; best practices; longevity; research impact; software blueprint; source: ChatGPT-DR; sustainable software,Unusable,unusable,False
S4W3TSUF,blogPost,Automating software citations: Tools and techniques for sustainable research,"S., Jackson",2014,,,,https://www.software.ac.uk/blog/automating-software-citations-tools-and-techniques-for-sustainable-research,"In this post, Jackson explores various tools and techniques for automating the generation of software citations. The post reviews the challenges associated with manual citation processes and proposes automation as a means to promote sustainable research practices and long-term software recognition.",Unusable; automation; longevity; research tools; software citation; source: ChatGPT-DR; sustainable research,Unusable,unusable,False
XG5HV6VR,blogPost,Making software sustainable: overcoming the pitfalls of citation,"S., Jackson",2012,,,,https://www.software.ac.uk/blog/making-software-sustainable-overcoming-the-pitfalls-of-citation,"In this blog post, Jackson discusses the challenges associated with citing software and the importance of sustainable practices in software development for research. The post highlights common pitfalls that lead to software obsolescence and argues for better citation practices as part of broader sustainability strategies.",Unusable; citation practices; longevity; research software; software sustainability; source: ChatGPT-DR; sustainable computing,Unusable,unusable,False
3YNYYPK3,document,Software Sustainability Institute: Key Achievements 2010–2020,"Software Sustainability, Institute (SSI)",2020,,,,https://www.software.ac.uk/,"The Software Sustainability Institute, established with EPSRC support, has driven software best practices in UK research since 2010. Key achievements include collaborative consultancy on over 70 projects, the Fellowship programme for research software ambassadors, community events, and thought leadership on policy. Their efforts helped popularize the Research Software Engineer (RSE) role and shaped software management plans for UK funders.",RSE; SSI; UK; Unusable; best practices; capacity building; research software; source: ChatGPT-DR,Unusable,unusable,False
B4TCK3K4,report,Final Report of the Task Force on Software for Science and Engineering,"National Science Foundation Advisory Committee for Cyberinfrastructure Task Force on Software for, Science; Engineering",2010,,,,https://www.nsf.gov/attachments/117803/public/Software.pdf,"This task force report outlines a vision for research software as a key element of the national cyberinfrastructure. It recommends multi-level long-term funding, portability and modernization initiatives, and cultural changes to treat software development as a first-class scholarly activity. The report influenced subsequent NSF programs (e.g. SI2, CSSI) aimed at supporting sustainable, well-engineered software for scientific research.",Cyberinfrastructure; Funding models; NSF; Research software; Software sustainability; Unusable; source: ChatGPT-DR,Unusable,unusable,False
H5VZEIDN,document,Reference rot in publications,"et al., Klein",2014,,,,,"Examines the issue of reference rot in academic publications, highlighting the challenges of maintaining persistent links and citations in digital scholarship.",Unusable; digital preservation; reference rot; scholarly communication; source: ChatGPT-DR; sustainability,Unusable,unusable,False
FEBHQFLJ,document,Sustainable humanities computing,Flanders; Munoz,2012,,,,,"Discusses sustainable computing practices in digital humanities, providing early insights into the frameworks required for ensuring long-term digital preservation.",Unusable; digital humanities; humanities computing; source: ChatGPT-DR; sustainability; sustainable computing,Unusable,unusable,False
