Tool,Verification_Status,Hallucination_Risk,Services_Count,Journals,Status_Simple,Notes
ArchAIDE mobile application,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
ArchEd,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
ArchaeoPhases,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,JOSS,REAL,
ArchaeoViz,VERIFIED_REAL (matches archeoViz in OpenArchaeo),MEDIUM,1,SoftwareX,REAL,
Archaeobotanical Computer Database,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Archaeological Information System of the Czech Republic,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Archaeological Map of Bulgaria,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Archaeology Data Service,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Archeofrag,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,JOSS,REAL,
Archeologiczne Zdjęcie Polski (AZP) program,VERIFIED_REAL (Polish Archaeological Record),LOW,1,Internet Archaeology,REAL,
ArtifactML,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
Askeladden,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
AutoCAD,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
BADACor database,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
BCal,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
BIM platform,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Bchron,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
BigArq,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
Blender,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Burial Space Research Database,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Bwigg,VERIFIED_REAL,LOW (cross-validated),2,Multiple (sample run) | Internet Archaeology | Multiple,REAL,"Confirmed: Christen 2003 - Internet-based Bayesian radiocarbon wiggle-matching software. Used for tree-ring and peat sequence dating."
CAinterprTools,VERIFIED_REAL (baseline/evidence/metadata),MEDIUM,1,SoftwareX,REAL,
CeramicNet,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
ChronCluster,UNCERTAIN_LIKELY_HALLUCINATION,MEDIUM,2,JOSS,UNCERTAIN,"Not found on CRAN, GitHub, open-archaeo, or ctv-archaeology. Only similar tool is Chronoclust (bioinformatics cytometry, unrelated). Possible name confusion with ChronoModel, ArchaeoChron, or chronos."
ChronoModelr,CONFABULATED_NEAR_MATCH,MEDIUM,2,JOSS,CONFABULATED_NEAR_MATCH,"Likely confabulation: 'ChronoModelr' doesn't exist. Real package is 'RChronoModel' (R prefix, not r suffix). May be chimeric conflation of ChronoModel + R naming conventions. Recoverable by informed researcher."
ClimBayes,VERIFIED_REAL (additional known),MEDIUM,1,JOSS,REAL,
Climate Vulnerability Index,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Cloud2FEM (finite-element mesh generator for heritage building point clouds&#8203,VERIFIED_REAL (additional known),MEDIUM,1,SoftwareX,REAL,
CulSim,VERIFIED_REAL (additional known),MEDIUM,1,SoftwareX,REAL,
DB-HERITAGE platform,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
DataArq,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
DataMiner,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
DataScribe,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
DeepClass,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
Depthmap,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
DepthmapX,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JCAA,REAL,
Distant Viewing Toolkit,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
ESRI ArcGIS,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Endovélico information system,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Excel 2003,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
ExeGesIS,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
FAIMS,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Multiple (sample run),REAL,
FAIMS Mobile,VERIFIED_REAL (well-known software),MEDIUM,1,SoftwareX,REAL,
FQC,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
FaceNet,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
Faceted Query Engine,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
FieldStream,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
FieldWorker Advanced 2.3.5,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
FieldWorker Pro 0.91,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
FilmColors,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
Fountain (VRML tool),VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
GIS,FALSE_POSITIVE (generic category extracted as tool),MEDIUM,1,Internet Archaeology,FALSE_POSITIVE,
GNU R,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
GRASS GIS,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
GeoViz,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
Gephi,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,Multiple (sample run) | Internet Archaeology | Multiple,REAL,
Getty AAT vocabulary,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
GitHub,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Google Earth,VERIFIED_REAL (well-known software),MEDIUM,1,Internet Archaeology,REAL,
Google Earth Engine,VERIFIED_REAL (well-known software),LOW,1,JCAA,REAL,
Grid Machine 6.53,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
HBSMR (ExeGesIS) v3.06,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
HEIRPORT,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Heurist,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,Multiple (sample run) | Multiple,REAL,
Hungarian Archaeology Database,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Hyperspectral Image Analysis Toolbox,VERIFIED_REAL (additional known),MEDIUM,1,SoftwareX,REAL,
Image2DEM (image-based 3D model builder for historic masonry structures&#8203,VERIFIED_REAL (additional known),MEDIUM,1,SoftwareX,REAL,
ImageQuant,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
ImgAug,VERIFIED_REAL (well-known software),LOW,1,JCAA,REAL,
Inception,VERIFIED_REAL (additional known),LOW,1,JCAA,REAL,
Integrated Archaeological Database,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Internet Explorer 3,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Intrasis,VERIFIED_REAL (baseline/evidence/metadata),MEDIUM,1,Internet Archaeology,REAL,
Jupyter Notebook,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
KLRfome,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
"KLRfome – Kernel Logistic Regression on Focal Mean Embeddings,""N/A",REAL_TOOL_CAPTURE_ERROR (malformed CSV from LLM fail-possible run),MEDIUM,1,JOSS,CAPTURE_ERROR,KLRfome is real (verified); this malformed entry from Joss-fail-possible run shows LLM produced broken CSV. Valid KLRfome entry exists separately.
Keras,VERIFIED_REAL (well-known software),LOW,1,JCAA,REAL,
Land Survey System,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
LandML,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
LifeForms,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Luminescence,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
MASA consortium,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
MATLAB,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
MICA,VERIFIED_REAL (additional known),MEDIUM,1,SoftwareX,REAL,
MODES,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
MapCrowd,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
MapReader,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
Mask R-CNN,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,JCAA | JOAD,REAL,
Matrix Manager,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
MicroPasts,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
MicroStation,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Microsoft Access,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Microsoft Access 2003,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Microsoft HoloLens,VERIFIED_REAL (well-known software),MEDIUM,1,Internet Archaeology,REAL,
Microware,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Minitab,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Mortuary Data Application Profile,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Netscape 4,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
OASIS,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Open Context,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Open-archeo,VERIFIED_REAL (additional known),LOW,1,JOAD,REAL,
OpenEthnology,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
OxCal,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
Paint Shop Pro,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Perseus 2.0,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Photomodeller,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Pioneer,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Pioneer Pro,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
PixPlot,VERIFIED_REAL (additional known),LOW,1,JOSS,REAL,
Polynomial Texture Mapping,VERIFIED_REAL (additional known),MEDIUM,1,Internet Archaeology,REAL,
Portable Antiquities Scheme (PAS) database,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
PowerPoint,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
PyCoCu,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
PyLithics,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,JOSS,REAL,
QGIS,VERIFIED_REAL (well-known software),LOW,1,JCAA,REAL,
QTVR,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
QuickTime VR,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
R,VERIFIED_REAL (well-known software),LOW,1,JCAA,REAL,
RACER,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
RChrono,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
ROCEEH Out-of-Africa Database,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Reconstructo,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
Reflectance Transformation Imaging,VERIFIED_REAL (additional known),MEDIUM,1,Internet Archaeology,REAL,
Rhino for AutoCAD,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Roman Inscriptions of Britain (RIB) database,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
SAGAscape,LIKELY_REAL (cross-validated),LOW (cross-validated),3,Multiple (sample run) | JCAA | Multiple,LIKELY_REAL,
SASSA,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
SEAHORS,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
SIGEC,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
SORAN,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
STAR,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
STELLAR,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
SVG,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Scripto,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
SimLex,VERIFIED_REAL (additional known),MEDIUM,1,SoftwareX,REAL,
Sketchfab,VERIFIED_REAL (well-known software),MEDIUM,1,Internet Archaeology,REAL,
SpadeR,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
Spatial Analyst 2.0,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Stable Diffusion,VERIFIED_REAL (well-known software),LOW,1,JCAA,REAL,
Stratigraph,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Survey2GIS,VERIFIED_REAL (baseline/evidence/metadata),MEDIUM,1,Internet Archaeology,REAL,
Swedish National Data Service,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
TGIR Huma-Num,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
THANADOS database,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Temporal normalization tool,VERIFIED_REAL (additional known),LOW,1,JCAA,REAL,
TensorFlow,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,Internet Archaeology | JCAA,REAL,
Tesseract,VERIFIED_REAL (well-known software),LOW,1,JOSS,REAL,
TimeMap,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Truespace,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Twitter API,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
UCINET,VERIFIED_REAL (well-known software),LOW,1,JCAA,REAL,
Unity 3D,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
VOSviewer,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
VRArchaeo,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
VRML,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Virtual Amarna Project,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
VirtualArch project platform,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Vistamorph,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Vistapro,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
Voro++ (bleiglas: An R package for interpolation and visualisation of spatiotemporal data with 3D tessellation),VERIFIED_REAL (additional known),LOW,1,JOSS,REAL,
WallGIS database and GIS,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
WaveSurfer 1.8.8,VERIFIED_REAL (well-known software),LOW,1,Internet Archaeology,REAL,
Wcvt2Pov,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
WordPress,VERIFIED_REAL (well-known software),MEDIUM,1,Internet Archaeology,REAL,
XVR,VERIFIED_REAL (baseline/evidence/metadata),MEDIUM,1,Internet Archaeology,REAL,
York System,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
Zooniverse Project Builder,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
aRchaic,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
ade4,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
aion,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,JOSS,REAL,
archCandy,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
archeoViz,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,JOSS,REAL,
archr,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
argus,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
bleiglas,VERIFIED_REAL (baseline/evidence/metadata),MEDIUM,1,JOSS,REAL,
c14bazAAR,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,JOSS,REAL,
chora,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
dataARC cyberinfrastructure,VERIFIED_REAL (additional known),LOW,1,Internet Archaeology,REAL,
dplR,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
fellingdater,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
geoChronR,VERIFIED_REAL (additional known),MEDIUM,1,JOSS,REAL,
glottoTrees,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
glottospace,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
gvSIG CE,VERIFIED_REAL (baseline/evidence/metadata),MEDIUM,1,Internet Archaeology,REAL,
htmlfig,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
htmltoc,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
iDig,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,Multiple (sample run) | Internet Archaeology | Multiple,REAL,
iconr,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
kairos,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
kdedemo1,VERIFIED_REAL (Beardah & Baxter 1996 MATLAB routine for KDE),LOW,1,Internet Archaeology,REAL,Internet Archaeology Issue 1 (1996)
kdedemo2,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
lingtypR,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
lingtypology,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
mapDamage,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
mortAAR,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,JOSS,REAL,
movecost,VERIFIED_REAL (additional known),MEDIUM,1,SoftwareX,REAL,
oxcAAR,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
pastR,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
pnuts,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
pyArchaeo,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
pyrho,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
qlcData,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
rcarbon,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
recexcavAAR,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
rhip,LIKELY_REAL (cross-validated),LOW (cross-validated),2,JOSS,LIKELY_REAL,
ringR (R package for dendrochronology; relevant to historical sciences but lacks direct archaeology mention),VERIFIED_REAL (additional known),MEDIUM,1,SoftwareX,REAL,Tool name was split during CSV parsing due to semicolon; restored complete name
shoredate,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,JOSS,REAL,
straditize,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
stratigraphr,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),3,Multiple (sample run) | JOSS | Multiple,REAL,
tDAR,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,Internet Archaeology,REAL,
tabula,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,JOSS,REAL,
tgcd,VERIFIED_REAL (additional known),MEDIUM,1,SoftwareX,REAL,
tidypaleo,VERIFIED_REAL (baseline/evidence/metadata),LOW (cross-validated),2,JOSS,REAL,
time2aoristic,LIKELY_HALLUCINATED,HIGH,1,JOAD,HALLUCINATED,
vegan,VERIFIED_REAL (baseline/evidence/metadata),LOW,1,JOSS,REAL,
