Tool_Name_Standardised,Name_Variants,Discovery_Count,LLM_Services,LLM_Services_Count,LLM_Models,Harnesses,Journals,Journals_Count,Run_Qualities,Sample_Article_Title,Sample_URL,Hallucination_Risk,Verification_Outcome
Adobe Illustrator CS2,Adobe Illustrator CS2,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,An Interactive Image Using SVG and Ajax in Archaeology,https://intarch.ac.uk/journal/issue23/charno_index.html,LOW,MISATTRIBUTED
Advanced viewshed analysis,Advanced viewshed analysis,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,fail-possible,"Advanced viewshed analysis: a Quantum GIS plug-in for the analysis of visual landscapes,""N/A","Vol. 1, Iss. 4",MEDIUM,CONFABULATED
Agisoft PhotoScan,Agisoft PhotoScan (photogrammetry),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,From Archive to GIS: Recovering Spatial Information for Tholos IV at the Palace of Nestor from the Notebooks of Lord William Taylour,https://intarch.ac.uk/journal/issue56/5/index.html,LOW,VERIFIED
Ajax,Ajax,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,An Interactive Image Using SVG and Ajax in Archaeology,https://intarch.ac.uk/journal/issue23/charno_index.html,LOW,MISATTRIBUTED
Annotorious,Annotorious,1,OpenAI Operator,1,Operator,Operator (browser agent),JOAD,1,standard,Annotated 3D-Models of Cuneiform Tablets,,LOW,VERIFIED
Arc/Info,Arc/Info,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,LOW,MISATTRIBUTED
ArcGIS,ArcGIS | ArcGIS (widely used GIS software),4,ChatGPT Deep Research | OpenAI o3,2,Unknown (Deep Research) | o3,Deep Research (web) | Web chat (o3),Internet Archaeology | JCAA,2,fail | success | standard,"GIS Visualisations of Mortuary Data from Holešov, Czech Republic",https://intarch.ac.uk/journal/issue36/smejda_toc.html,LOW (cross-validated),MISATTRIBUTED
ArcGIS 10.5,ArcGIS 10.5 (proprietary GIS software used for least-cost path modeling),1,OpenAI o3,1,o3,Web chat (o3),JCAA,1,standard,"Building a Model to Reconstruct the Hellenistic and Roman Road Networks of the Eastern Desert of Egypt, a Semi-Empirical Approach Based on Modern Travelers’ Itineraries",https://doi.org/10.5334/jcaa.67,LOW,MISATTRIBUTED
ArcGIS skeletal templates,ArcGIS skeletal templates,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,A New Tool for Zooarchaeological Analysis: ArcGIS Skeletal Templates for Some Common Mammalian Species,https://intarch.ac.uk/journal/issue28/orton_index.html,LOW,VERIFIED
ArcMap,ArcMap (ArcGIS),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Dress and Social Identities: the role of GIS in mapping social structure in the central Italian Iron Age cemetery of Osteria dell'Osa,https://intarch.ac.uk/journal/issue24/cougle_index.html,LOW,MISATTRIBUTED
ArcScene,ArcScene,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Breedon Hill, Leicestershire: new surveys and their implications",https://intarch.ac.uk/journal/issue52/6/index.html,LOW,MISATTRIBUTED
ArcView GIS,ArcView GIS,3,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,An Interactive Image Using SVG and Ajax in Archaeology,https://intarch.ac.uk/journal/issue23/charno_index.html,LOW,MISATTRIBUTED
ArcView GIS 3.3,ArcView GIS 3.3,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",https://intarch.ac.uk/journal/issue21/boldrini_index.html,LOW,MISATTRIBUTED
Arch-I-Scan,Arch-I-Scan,5,ChatGPT Deep Research | OpenAI o3 | Perplexity Deep Research,3,Unknown (Deep Research) | o3 | Perplexity Pro,Deep Research (web) | Web chat (o3) | Perplexity (web),Multiple (sample run) | Internet Archaeology | JCAA | Multiple,4,sample | fail | success | standard | synthetic-prompt,,,LOW (cross-validated),VERIFIED
ArchABM,ArchABM,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,ArchABM: Agent-based modeling of ancient societies in R,https://joss.theoj.org/papers/10.21105/joss.01201,LOW (cross-validated),CONFABULATED
ArchAIDE,ArchAIDE,4,ChatGPT Deep Research | Perplexity Deep Research,2,Unknown (Deep Research) | Perplexity Pro,Deep Research (web) | Perplexity (web),Multiple (sample run) | Internet Archaeology | Multiple,3,sample | fail | success | synthetic-prompt,,Closed-source,LOW (cross-validated),VERIFIED
ArchAIDE desktop application,ArchAIDE desktop application,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Developing the ArchAIDE Application: A digital workflow for identifying, organising and sharing archaeological pottery using automated image recognition",https://intarch.ac.uk/journal/issue52/7/index.html,LOW,VERIFIED
ArchAIDE mobile application,ArchAIDE mobile application,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Developing the ArchAIDE Application: A digital workflow for identifying, organising and sharing archaeological pottery using automated image recognition",https://intarch.ac.uk/journal/issue52/7/index.html,LOW,VERIFIED
ArchEd,ArchEd,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,ArchEd and Stratigraph - Excavation recording and analysis software,https://intarch.ac.uk/journal/issue8/reviews/rains.html,LOW,VERIFIED
ArchaeoPhases,ArchaeoPhases,4,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible | success-secondpass,ArchaeoPhases: Tools for analyzing Bayesian chronological models from archaeology,https://joss.theoj.org/papers/10.21105/joss.01064,LOW (cross-validated),VERIFIED
ArchaeoPhases (Archeofrag: an R package for Refitting and Spatial Analysis in Archaeology),ArchaeoPhases (Archeofrag: an R package for Refitting and Spatial Analysis in Archaeology) (Archeofrag: an R package for Refitting and Spatial Analysis in Archaeology),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,Archeofrag: an R package for Refitting and Spatial Analysis in Archaeology (Journal of Open Source Software: Archeofrag: an R package for Refitting and Spatial Analysis in Archaeology),https://joss.theoj.org/papers/10.21105/joss.04335,LOW,VERIFIED
ArchaeoViz,ArchaeoViz (web-based spatial data visualization for archaeology),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),SoftwareX,1,access-fail,ArchaeoViz: A web platform for the visual analysis of archaeological spatial data,https://doi.org/10.1016/j.softx.2021.100658,MEDIUM,VERIFIED
Archaeobotanical Computer Database,Archaeobotanical Computer Database (ABCD),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,A review of the archaeological evidence for food plants from the British Isles: an example of the use of the Archaeobotanical Computer Database (ABCD),https://intarch.ac.uk/journal/issue1/tomlinson_toc.html,LOW,VERIFIED
Archaeological Information System of the Czech Republic,Archaeological Information System of the Czech Republic (AIS CR),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Taming the Beast. Approaches to Digital Archiving in Czech Archaeology,https://intarch.ac.uk/journal/issue58/5/index.html,LOW,VERIFIED
Archaeological Map of Bulgaria,Archaeological Map of Bulgaria (AMB),2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Current State of Archiving Archaeological Reports in Bulgaria: still more physical than digital,https://intarch.ac.uk/journal/issue58/24/index.html,LOW,VERIFIED
Archaeology Data Service,Archaeology Data Service (ADS),2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Archiving Archaeological Data in the United Kingdom,https://intarch.ac.uk/journal/issue58/21/index.html,LOW,VERIFIED
Archeofrag,Archeofrag,3,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible | success-secondpass,Archeofrag: an R package for Refitting and Spatial Analysis in Archaeology,https://joss.theoj.org/papers/10.21105/joss.04335,LOW (cross-validated),VERIFIED
Archeologiczne Zdjęcie Polski (AZP) program,Archeologiczne Zdjęcie Polski (AZP) program,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Belated Measures - the Reality of Digital Archaeological Archiving in Poland,https://intarch.ac.uk/journal/issue58/12/index.html,LOW,VERIFIED
ArtifactML,ArtifactML (R package),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,Automated Artifact Classification Using Machine Learning,https://doi.org/10.5334/joad.100,HIGH,CONFABULATED
Askeladden,Askeladden (Norway site registry),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Curation of Digital Archaeological Data in Norway,https://intarch.ac.uk/journal/issue58/29/index.html,LOW,VERIFIED
AutoCAD,AutoCAD,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The need for the solid modelling of structure in the archaeology of buildings,https://intarch.ac.uk/journal/issue2/daniels/index.html,LOW,MISATTRIBUTED
BADACor database,BADACor database,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Towards an Open Digital Ecosystem for Archaeology in South America: The BADACor (Córdoba Archaeological Sites Database) as a case of an open digital archaeological source for heritage management in central Argentina,https://intarch.ac.uk/journal/issue64/16/index.html,LOW,VERIFIED
BCal,BCal,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,BCal: an on-line Bayesian radiocarbon calibration tool,https://intarch.ac.uk/journal/issue7/buck_index.html,LOW,VERIFIED
BIM platform,BIM platform,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"The role of BIM and GIS in HS2 historic environment data management, an overview of HS2 Phase One, UK",https://intarch.ac.uk/journal/issue65/5/index.html,LOW,MISATTRIBUTED
Bchron,Bchron | Bchron (c14bazAAR: An R package for downloading and preparing C14 dates from different source databases),3,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,aion: An R Package to Represent Archaeological Time Series (Journal of Open Source Software: aion: An R Package to Represent Archaeological Time Series),https://joss.theoj.org/papers/10.21105/joss.06210,LOW,VERIFIED
BigArq,BigArq (R script),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,Leveraging Big Data in Archaeological Research: A Case Study,https://doi.org/10.5334/joad.150,HIGH,CONFABULATED
Blender,Blender,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Appropriate Levels of Detail in 3-D Visualisation: the House of the Surgeon, Pompeii",https://intarch.ac.uk/journal/issue23/murgatroyd_index.html,LOW,MISATTRIBUTED
Burial Space Research Database,Burial Space Research Database,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The Burial Space Research Database (Data Paper),https://intarch.ac.uk/journal/issue55/3/index.html,LOW,VERIFIED
Bwigg,Bwigg,3,ChatGPT Deep Research | Perplexity Deep Research,2,Unknown (Deep Research) | Perplexity Pro,Deep Research (web) | Perplexity (web),Multiple (sample run) | Internet Archaeology | Multiple,3,sample | success | synthetic-prompt,,,LOW (cross-validated),VERIFIED
CAinterprTools,CAinterprTools (R package for Correspondence Analysis in archaeology),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),SoftwareX,1,access-fail,CAinterprTools: An R package to help interpreting Correspondence Analysis’ results,https://doi.org/10.1016/j.softx.2015.07.001,MEDIUM,VERIFIED
CeramicNet,CeramicNet (Python script),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,Open Source Analysis of Ceramic Trade Networks,https://doi.org/10.5334/joad.91,HIGH,CONFABULATED
ChronCluster,ChronCluster,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,ChronCluster: Automatic cluster-based Bayesian chronology building in R,https://joss.theoj.org/papers/10.21105/joss.01194,LOW (cross-validated),CONFABULATED
ChronoModelr,ChronoModelr,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,ChronoModelr: A wrapper for ChronoModel Bayesian Archaeological Dating software,https://joss.theoj.org/papers/10.21105/joss.01095,LOW (cross-validated),CONFABULATED
ClimBayes,ClimBayes,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,fail-possible,"ClimBayes: Bayesian Hierarchical Modeling of Paleo-Climate time series in R,""N/A","Vol. 5, Iss. 45",MEDIUM,VERIFIED
Climate Vulnerability Index,Climate Vulnerability Index (CVI),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Developing Climate Risk Assessments for World Heritage: the Climate Vulnerability Index,https://intarch.ac.uk/journal/issue60/3/index.html,LOW,VERIFIED
Cloud2FEM (finite-element mesh generator for heritage building point clouds&#8203,Cloud2FEM (finite-element mesh generator for heritage building point clouds&#8203,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),SoftwareX,1,access-fail,Cloud2FEM: A finite element mesh generator based on point clouds of existing/historical structures,https://doi.org/10.1016/j.softx.2022.101099,MEDIUM,VERIFIED
CulSim,CulSim (agent-based simulation of cultural dynamics for anthropology),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),SoftwareX,1,access-fail,CulSim: A simulator of emergence and resilience of cultural diversity,https://doi.org/10.1016/j.softx.2016.07.005,MEDIUM,VERIFIED
DB-HERITAGE platform,DB-HERITAGE platform,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,DB-HERITAGE Building Materials Data Aggregation in ARIADNE - challenges and opportunities,https://intarch.ac.uk/journal/issue64/5/index.html,LOW,VERIFIED
DataArq,DataArq (software tool),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,An Open Platform for Archaeological Data Integration,https://doi.org/10.5334/joad.121,HIGH,CONFABULATED
DataMiner,DataMiner (Python tool),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,Leveraging Big Data in Archaeological Research: A Case Study,https://doi.org/10.5334/joad.150,HIGH,CONFABULATED
DataScribe,DataScribe,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,DataScribe: An Omeka S module for structured data transcription (Journal of Open Source Software: DataScribe: An Omeka S module for structured data transcription),https://joss.theoj.org/papers/10.21105/joss.05661,LOW,VERIFIED
DeepClass,DeepClass (Python tool),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,Automated Artifact Classification Using Machine Learning,https://doi.org/10.5334/joad.100,HIGH,CONFABULATED
Depthmap,Depthmap,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Analysing Medieval Urban Space; a methodology,https://intarch.ac.uk/journal/issue21/craane_index.html,LOW,VERIFIED
DepthmapX,DepthmapX (space syntax analysis software),1,OpenAI o3,1,o3,Web chat (o3),JCAA,1,standard,Architecture Reality and Perception: The Multicultural Nature of Egyptian Domestic Architecture in the Roman Period,https://doi.org/10.5334/jcaa.95,LOW,VERIFIED
Distant Viewing Toolkit,Distant Viewing Toolkit | Distant Viewing Toolkit (MapReader: Open software for the visual analysis of maps),2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,Distant Viewing Toolkit: A Python Package for the Analysis of Visual Culture (Journal of Open Source Software: Distant Viewing Toolkit: A Python Package for the Analysis of Visual Culture),https://joss.theoj.org/papers/10.21105/joss.01800,LOW,VERIFIED
ESRI ArcGIS,ESRI ArcGIS,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Characterising the Welsh Roundhouse: chronology, inhabitation and landscape",https://intarch.ac.uk/journal/issue23/1/index.html,LOW,MISATTRIBUTED
Endovélico information system,Endovélico information system,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Digital Archaeology Archives in Portugal,https://intarch.ac.uk/journal/issue58/13/index.html,LOW,VERIFIED
Excel 2003,Excel 2003,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",https://intarch.ac.uk/journal/issue21/boldrini_index.html,LOW,MISATTRIBUTED
ExeGesIS,ExeGesIS (HER data system),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Categorising the Past: lessons from the archaeological resource assessment for Yorkshire,https://intarch.ac.uk/journal/issue23/roskams_index.html,LOW,VERIFIED
FAIMS,FAIMS,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Multiple (sample run),1,sample,,https://github.com/FAIMS,LOW,VERIFIED
FAIMS Mobile,FAIMS Mobile (Android field data capture platform for archaeology),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),SoftwareX,1,access-fail,"FAIMS Mobile: Flexible, open-source software for field research",https://doi.org/10.1016/j.softx.2017.12.006,MEDIUM,VERIFIED
FQC,FQC,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,FQC: FarmQuests for historical crop modeling in Python,https://joss.theoj.org/papers/10.21105/joss.01102,LOW (cross-validated),CONFABULATED
FaceNet,FaceNet,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,Distant Viewing Toolkit: A Python Package for the Analysis of Visual Culture (Journal of Open Source Software: Distant Viewing Toolkit: A Python Package for the Analysis of Visual Culture),https://joss.theoj.org/papers/10.21105/joss.01800,LOW,MISATTRIBUTED
Faceted Query Engine,Faceted Query Engine,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,A Faceted Query Engine Applied to Archaeology,https://intarch.ac.uk/journal/issue21/stoyanovich_index.html,LOW,VERIFIED
FieldStream,FieldStream (data processing tool),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,Enhancing Archaeological Fieldwork with Real-time Data Processing,https://doi.org/10.5334/joad.140,HIGH,CONFABULATED
FieldWorker Advanced 2.3.5,FieldWorker Advanced 2.3.5,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,FieldWorker Advanced 2.3.5 and FieldWorker Pro 0.91 GPS software,https://intarch.ac.uk/journal/issue3/ryan.html,LOW,VERIFIED
FieldWorker Pro 0.91,FieldWorker Pro 0.91,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,FieldWorker Advanced 2.3.5 and FieldWorker Pro 0.91 GPS software,https://intarch.ac.uk/journal/issue3/ryan.html,LOW,VERIFIED
FilmColors,FilmColors (Distant Viewing Toolkit: A Python Package for the Analysis of Visual Culture),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,Distant Viewing Toolkit: A Python Package for the Analysis of Visual Culture (Journal of Open Source Software: Distant Viewing Toolkit: A Python Package for the Analysis of Visual Culture),https://joss.theoj.org/papers/10.21105/joss.01800,LOW,VERIFIED
Fountain,Fountain,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,LOW,VERIFIED
GIS,GIS,3,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,Reconstructing Rebellion: Digital Terrain Analysis of the Battle of Dussindale (1549),https://intarch.ac.uk/journal/issue38/hodgkins_toc.html,MEDIUM,MISATTRIBUTED
GNU R,GNU R,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Diet in Mesolithic Europe: New evidence from dental microwear,https://intarch.ac.uk/journal/issue22/mclaughlin_index.html,LOW,MISATTRIBUTED
GRASS GIS,GRASS GIS,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Listening to the Landscapes: Modelling Soundscapes in GIS,https://intarch.ac.uk/journal/issue16/mlekuz_index.html,LOW,MISATTRIBUTED
GeoViz,GeoViz (web application),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,Geoarchaeological Data from the Mediterranean: A Digital Approach,https://doi.org/10.5334/joad.90,HIGH,CONFABULATED
Gephi,Gephi,5,ChatGPT Deep Research | Perplexity Deep Research,2,Unknown (Deep Research) | Perplexity Pro,Deep Research (web) | Perplexity (web),Multiple (sample run) | Internet Archaeology | Multiple,3,sample | fail | success | synthetic-prompt,,https://github.com/gephi/gephi,LOW (cross-validated),VERIFIED
Getty AAT vocabulary,Getty AAT vocabulary,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Aggregating Coin Find Data to the ARIADNE Portal. Challenges of using the Getty AAT for a specialist domain,https://intarch.ac.uk/journal/issue64/6/index.html,LOW,MISATTRIBUTED
GitHub,GitHub (code collaboration platform),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Open Archaeology, Open Source? Collaborative practices in an emerging community of archaeological software engineers",https://intarch.ac.uk/journal/issue67/13/index.html,LOW,MISATTRIBUTED
Google Earth,Google Earth,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,Google Under-the-Earth: Seeing Beneath Stonehenge using Google Earth - a Tool for Public Engagement and the Dissemination of Archaeological Data,https://intarch.ac.uk/journal/issue40/welham_toc.html,MEDIUM,MISATTRIBUTED
Google Earth Engine,Google Earth Engine (cloud-based geospatial analysis platform),1,OpenAI o3,1,o3,Web chat (o3),JCAA,1,standard,Detecting Looting Activity through Earth Observation Multi-Temporal Analysis over the Archaeological Site of Apamea (Syria) during 2011–2012,https://doi.org/10.5334/jcaa.56,LOW,MISATTRIBUTED
Grid Machine 6.53,Grid Machine 6.53,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",https://intarch.ac.uk/journal/issue21/boldrini_index.html,LOW,VERIFIED
HBSMR (ExeGesIS) v3.06,HBSMR (ExeGesIS) v3.06,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",https://intarch.ac.uk/journal/issue21/boldrini_index.html,LOW,VERIFIED
HEIRPORT,HEIRPORT,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Getting it together on-line: HEIRNET and Internet-based resource discovery tools for the Historic Environment,https://intarch.ac.uk/journal/issue13/fernie_index.html,LOW,VERIFIED
Heurist,Heurist,2,ChatGPT Deep Research | Perplexity Deep Research,2,Unknown (Deep Research) | Perplexity Pro,Deep Research (web) | Perplexity (web),Multiple (sample run) | Multiple,2,sample | synthetic-prompt,,https://code.google.com/p/heurist/,LOW (cross-validated),VERIFIED
Hungarian Archaeology Database,Hungarian Archaeology Database,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The Hungarian Archaeology Database,https://intarch.ac.uk/journal/issue58/9/index.html,LOW,VERIFIED
Hyperspectral Image Analysis Toolbox,"Hyperspectral Image Analysis Toolbox (used for historic document analysis, but archaeological applications unclear)",1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),SoftwareX,1,access-fail,Hyperspectral Image Analysis Toolbox for Cultural Heritage Applications,https://doi.org/10.1016/j.softx.2020.100610,MEDIUM,CONFABULATED
