Tool,Has-DVCS,Gist-only,AI-classification,Human-review,In-final-list,Discovery-overlap,Unique-to-OpenArchaeo,Metadata-investigated,Evidence-investigated
PleistoDist,yes,no,yes,Yes,yes,no,yes,no,no
PleistoDistR,yes,no,yes,Yes,yes,no,yes,no,no
PointPattern,no,no,yes,Yes,yes,no,yes,no,yes
QGIS-scripts,yes,no,yes,Yes,yes,no,yes,no,no
QGIS-topographic-networks,yes,no,yes,Yes,yes,no,yes,no,no
QGIS-visibility-analysis,yes,no,yes,Yes,yes,no,yes,no,no
QuARI,yes,no,yes,Yes,yes,no,yes,no,no
RACORD,yes,no,yes,Yes,yes,no,yes,no,no
RGPR,yes,no,yes,Yes,yes,no,yes,no,no
RJradiocarbon,yes,no,yes,Yes,yes,no,yes,no,no
RLumModel,yes,no,yes,Yes,yes,no,yes,no,no
RTIBuilder,no,no,yes,Yes,yes,no,yes,no,yes
RTIViewer,no,no,yes,Yes,yes,no,yes,no,yes
Rcarb,yes,no,yes,Yes,yes,no,yes,no,no
RoomAccum,yes,no,yes,Yes,yes,no,yes,no,no
SCEM,yes,no,yes,Yes,yes,no,yes,no,no
SEAHORS,yes,no,yes,Yes,yes,yes,no,yes,yes
SPARTAAS,no,no,yes,Yes,yes,no,yes,no,no
Seriation,yes,no,yes,Yes,yes,no,yes,no,no
Seriographe EPPM,no,no,yes,Yes,yes,no,yes,no,yes
SexEst,yes,no,yes,Yes,yes,no,yes,no,no
SiteSyncro,yes,no,yes,Yes,yes,no,yes,no,no
Stratibase,no,no,no,Yes,yes,no,yes,no,yes
SurveyeR,yes,no,yes,Yes,yes,no,yes,no,no
Sériation de matrice en présence/absence,no,no,yes,Yes,yes,no,yes,no,no
THANADOS,yes,no,yes,Yes,yes,no,yes,no,no
TPQ-Composer,yes,no,yes,Yes,yes,no,yes,no,no
TRANSIT,yes,no,yes,Yes,yes,no,yes,no,no
Tachy2GIS,yes,no,yes,Yes,yes,no,yes,no,no
Tachy2GIS_arch,yes,no,yes,Yes,yes,no,yes,no,no
The Southwestern Taphonomic Protocol,yes,no,yes,Yes,yes,no,yes,no,no
Tldating,yes,no,yes,Yes,yes,no,yes,no,no
TransmissionBias,yes,no,yes,Yes,yes,no,yes,no,no
UThwigl,yes,no,yes,Yes,yes,no,yes,no,no
UnconstrainedClustering,no,no,yes,Yes,yes,no,yes,no,yes
UniformProbabilityDensityAnalysis,yes,no,yes,Yes,yes,no,yes,no,no
Vessel-Measuring-Tool,yes,no,yes,Yes,yes,no,yes,no,no
WeedEco,yes,no,yes,Yes,yes,no,yes,no,no
ZooarchMixMod,yes,no,yes,Yes,yes,no,yes,no,no
aion,yes,no,yes,Yes,yes,yes,no,yes,yes
alkahest,yes,no,yes,Yes,yes,no,yes,no,no
allen-relations,yes,no,yes,Yes,yes,no,yes,no,no
allen.archaeology,yes,no,yes,Yes,yes,no,yes,no,no
anatolia-bibliography-map,yes,no,yes,Yes,yes,no,yes,no,no
ancient-artifacts,yes,no,yes,Yes,yes,no,yes,no,no
anthroFun,yes,no,yes,Yes,yes,no,yes,no,no
anthropmmd,yes,no,yes,Yes,yes,no,yes,no,no
aoristAAR,yes,no,yes,Yes,yes,no,yes,no,no
aoristic,yes,no,yes,Yes,yes,no,yes,no,no
aoristic-analysis,yes,no,yes,Yes,yes,no,yes,no,no
archSeries,yes,no,yes,Yes,yes,no,yes,no,no
archaeo-CRF,yes,no,yes,Yes,yes,no,yes,no,no
archaeological-object-sharing,yes,no,no,Yes,yes,no,yes,no,no
archaeological-survey-location-collector,yes,no,no,Yes,yes,no,yes,no,no
archaeology-data-service,yes,no,no,Yes,yes,no,yes,no,no
archaeology-object-data-collector-app,yes,no,no,Yes,yes,no,yes,no,no
archaeology_on_wikipedia.R,no,yes,yes,Yes,yes,no,yes,no,yes
archaeosrp,yes,no,yes,Yes,yes,no,yes,no,no
archchron,yes,no,yes,Yes,yes,no,yes,no,no
archdata,no,no,no,Yes,yes,no,yes,no,no
archeoViz,yes,no,yes,Yes,yes,yes,no,yes,yes
archeofrag,yes,no,yes,Yes,yes,yes,no,yes,yes
arches,yes,no,no,Yes,yes,no,yes,no,no
arches-via-docker,yes,no,no,Yes,yes,no,yes,no,no
archiedb,yes,no,no,Yes,yes,no,yes,no,no
ark-addons,yes,no,yes,Yes,yes,no,yes,no,no
arkhe,yes,no,yes,Yes,yes,no,yes,no,no
arshm-release,yes,no,yes,Yes,yes,no,yes,no,no
artefact-morpho.R,no,yes,yes,Yes,yes,no,yes,no,yes
baorista,yes,no,yes,Yes,yes,no,yes,no,no
baydem,yes,no,yes,Yes,yes,no,yes,no,no
benmarwickDY-XYZ-data-on-an-irregular-grid-to-an-interpolated-raster.r,no,yes,yes,Yes,yes,no,yes,no,yes
benmarwickopencontext.r,no,yes,yes,Yes,yes,no,yes,no,yes
bioanth,yes,no,no,Yes,yes,no,yes,no,no
bleiglas,yes,no,yes,Yes,yes,yes,no,yes,yes
c14,yes,no,yes,Yes,yes,no,yes,no,no
c14-date-extractor,yes,no,yes,Yes,yes,no,yes,no,no
c14Intervals,yes,no,yes,Yes,yes,no,yes,no,no
c14bazAAR,yes,no,yes,Yes,yes,yes,no,yes,yes
cTransmission,yes,no,yes,Yes,yes,no,yes,no,no
ca,no,no,yes,Yes,yes,no,yes,no,no
calibrator,yes,no,yes,Yes,yes,no,yes,no,no
carbon14,yes,no,yes,Yes,yes,no,yes,no,no
carbondate,yes,no,yes,Yes,yes,no,yes,no,no
cawd,yes,no,no,Yes,yes,no,yes,no,no
ceramic-computation,yes,no,yes,Yes,yes,no,yes,no,no
charcoalhearths,yes,no,yes,Yes,yes,no,yes,no,no
cherish,yes,no,yes,Yes,yes,no,yes,no,no
chrongler,yes,no,yes,Yes,yes,no,yes,no,no
chronochrt,yes,no,yes,Yes,yes,no,yes,no,no
chronomodel,yes,no,yes,Yes,yes,no,yes,no,no
chronup,yes,no,yes,Yes,yes,no,yes,no,no
clam,yes,no,yes,Yes,yes,no,yes,no,no
cleanc14,yes,no,yes,Yes,yes,no,yes,no,no
clustering_14C,yes,no,yes,Yes,yes,no,yes,no,no
coffee,yes,no,yes,Yes,yes,no,yes,no,no
cran-JSDNE,yes,no,yes,Yes,yes,no,yes,no,no
cranial-sex-estimation-code,yes,no,yes,Yes,yes,no,yes,no,no
crom,yes,no,yes,Yes,yes,no,yes,no,no
currycarbon,yes,no,yes,Yes,yes,no,yes,no,no
datplot,yes,no,yes,Yes,yes,no,yes,no,no
dayofarchaeology,yes,no,yes,Yes,yes,no,yes,no,no
dayofarchaeology,yes,no,yes,Yes,yes,no,yes,no,no
dedalo,yes,no,no,Yes,yes,no,yes,no,no
demjanp,yes,no,yes,Yes,yes,no,yes,no,no
dendroNetwork,yes,no,yes,Yes,yes,no,yes,no,no
dimensio,yes,no,yes,Yes,yes,no,yes,no,no
disastermap,yes,no,yes,Yes,yes,no,yes,no,no
dplR,yes,no,yes,Yes,yes,yes,no,yes,yes
ede_interpolation,yes,no,yes,Yes,yes,no,yes,no,no
elemSource,yes,no,yes,Yes,yes,no,yes,no,no
era,yes,no,yes,Yes,yes,no,yes,no,no
eratosthenes,yes,no,yes,Yes,yes,no,yes,no,no
ethnobotanyR,yes,no,yes,Yes,yes,no,yes,no,no
expotime,yes,no,yes,Yes,yes,no,yes,no,no
fabryka,yes,no,yes,Yes,yes,no,yes,no,no
fastmaRching,yes,no,yes,Yes,yes,no,yes,no,no
fellingDateR,yes,no,yes,Yes,yes,yes,no,yes,yes
field-photographs,yes,no,no,Yes,yes,no,yes,no,no
fieldwalkr,yes,no,yes,Yes,yes,no,yes,no,no
gamma,yes,no,yes,Yes,yes,no,yes,no,no
geoCore,yes,no,yes,Yes,yes,no,yes,no,no
harris-matrix,yes,no,yes,Yes,yes,no,yes,no,no
harris-matrix,yes,no,yes,Yes,yes,no,yes,no,no
harris2graph,yes,no,yes,Yes,yes,no,yes,no,no
heurist,yes,no,no,Yes,yes,no,yes,no,no
historical-geocoding-assistant,yes,no,yes,Yes,yes,no,yes,no,no
hsv-api,yes,no,yes,Yes,yes,no,yes,no,no
iDAI.field,yes,no,no,Yes,yes,no,yes,no,no
iconr,yes,no,yes,Yes,yes,yes,no,yes,yes
idaifieldR,yes,no,yes,Yes,yes,no,yes,no,no
ishtar,yes,no,no,Yes,yes,no,yes,no,no
isopleuros,yes,no,yes,Yes,yes,no,yes,no,no
ithaca,yes,no,yes,Yes,yes,no,yes,no,no
joint-disease-tool,yes,no,yes,Yes,yes,no,yes,no,no
kairos,yes,no,yes,Yes,yes,yes,no,yes,yes
katun,yes,no,yes,Yes,yes,no,yes,no,no
khroma,yes,no,yes,Yes,yes,no,yes,no,no
kidstats,yes,no,yes,Yes,yes,no,yes,no,no
kotyle,yes,no,yes,Yes,yes,no,yes,no,no
kriging,yes,no,yes,Yes,yes,no,yes,no,no
lakhesis,yes,no,yes,Yes,yes,no,yes,no,no
leastcostpath,yes,no,yes,Yes,yes,no,yes,no,no
lecAAR,yes,no,yes,Yes,yes,no,yes,no,no
lithic3dslicer,yes,no,yes,Yes,yes,no,yes,no,no
long-bone-diaphyseal-CSG-Toolkit,yes,no,yes,Yes,yes,no,yes,no,no
maacgis,yes,no,yes,Yes,yes,no,yes,no,no
mafa,yes,no,yes,Yes,yes,no,yes,no,no
magAAR,yes,no,yes,Yes,yes,no,yes,no,no
marbleplan,yes,no,yes,Yes,yes,no,yes,no,no
maya-calendar,yes,no,yes,Yes,yes,no,yes,no,no
meshlab,yes,no,yes,Yes,yes,no,yes,no,no
missing,yes,no,yes,Yes,yes,no,yes,no,no
mobest,yes,no,yes,Yes,yes,no,yes,no,no
morphalr,yes,no,yes,Yes,yes,no,yes,no,no
morphotype,yes,no,yes,Yes,yes,no,yes,no,no
morphotypeShiny,yes,no,yes,Yes,yes,no,yes,no,no
mortAAR,yes,no,yes,Yes,yes,no,yes,no,no
munsell,yes,no,yes,Yes,yes,no,yes,no,no
munsell-plot.R,no,yes,yes,Yes,yes,no,yes,no,yes
murature,yes,no,yes,Yes,yes,no,yes,no,no
nearpresence,yes,no,yes,Yes,yes,no,yes,no,no
neiman1995,yes,no,yes,Yes,yes,no,yes,no,no
neolithicR,yes,no,yes,Yes,yes,no,yes,no,no
neonet,yes,no,yes,Yes,yes,no,yes,no,no
neotoma,yes,no,yes,Yes,yes,no,yes,no,no
nervia,yes,no,no,Yes,yes,no,yes,no,no
nexus,yes,no,yes,Yes,yes,no,yes,no,no
nimbleCarbon,yes,no,yes,Yes,yes,no,yes,no,no
non-metric-trait-analysis,yes,no,yes,Yes,yes,no,yes,no,no
open-context-py,yes,no,no,Yes,yes,no,yes,no,no
opencontext,yes,no,yes,Yes,yes,no,yes,no,no
osl_calibration.r,no,yes,yes,Yes,yes,no,yes,no,yes
osteoGIS,yes,no,yes,Yes,yes,no,yes,no,no
osteometric-sorting,yes,no,yes,Yes,yes,no,yes,no,no
outlineR,yes,no,yes,Yes,yes,no,yes,no,no
outliner,yes,no,yes,Yes,yes,no,yes,no,no
oxcAAR,yes,no,yes,Yes,yes,yes,no,yes,yes
p2pPerm,yes,no,yes,Yes,yes,no,yes,no,no
p3k14c-data-scrubbing,yes,no,yes,Yes,yes,no,yes,no,no
pXRF,yes,no,yes,Yes,yes,no,yes,no,no
paleocar,yes,no,yes,Yes,yes,no,yes,no,no
paleocore,yes,no,no,Yes,yes,no,yes,no,no
paleocoreR,yes,no,yes,Yes,yes,no,yes,no,no
paleofire,yes,no,yes,Yes,yes,no,yes,no,no
paleoxrf,yes,no,yes,Yes,yes,no,yes,no,no
pastclim,yes,no,yes,Yes,yes,no,yes,no,no
pathAAR,yes,no,yes,Yes,yes,no,yes,no,no
pdf-to-nested-xml,yes,no,yes,Yes,yes,no,yes,no,no
photogrammetry-object-scannner,yes,no,yes,Yes,yes,no,yes,no,no
piwigo-3dhop,yes,no,yes,Yes,yes,no,yes,no,no
pollen_data_processing,yes,no,yes,Yes,yes,no,yes,no,no
pollencount,yes,no,yes,Yes,yes,no,yes,no,no
poseidon-framework,yes,no,no,Yes,yes,no,yes,no,no
postAAR,yes,no,yes,Yes,yes,no,yes,no,no
postAAR-python,yes,no,yes,Yes,yes,no,yes,no,no
predictSource,yes,no,yes,Yes,yes,no,yes,no,no
profileAAR,yes,no,yes,Yes,yes,no,yes,no,no
pyArchInit,no,no,no,Yes,yes,no,yes,no,yes
pygeoroc,yes,no,no,Yes,yes,no,yes,no,no
pypofatu,yes,no,yes,Yes,yes,no,yes,no,no
qrcode-storage,yes,no,yes,Yes,yes,no,yes,no,no
quantAAR,yes,no,yes,Yes,yes,no,yes,no,no
quantatools,yes,no,yes,Yes,yes,no,yes,no,no
quantum-archeo,yes,no,yes,Yes,yes,no,yes,no,no
racisminarchy,yes,no,yes,Yes,yes,no,yes,no,no
radiocarbon-scrapers,yes,no,yes,Yes,yes,no,yes,no,no
radon,yes,no,yes,Yes,yes,no,yes,no,no
rbacon,yes,no,yes,Yes,yes,no,yes,no,no
rcarbon,yes,no,yes,Yes,yes,yes,no,yes,yes
rdss,yes,no,yes,Yes,yes,no,yes,no,no
recexcavAAR,yes,no,yes,Yes,yes,yes,no,yes,yes
recmod,yes,no,yes,Yes,yes,no,yes,no,no
rekrei,yes,no,yes,Yes,yes,no,yes,no,no
rintchron,yes,no,yes,Yes,yes,no,yes,no,no
rock-art-radnet,yes,no,yes,Yes,yes,no,yes,no,no
rock-art-ratopoviz,yes,no,yes,Yes,yes,no,yes,no,no
rock-art-transfer-learning,yes,no,yes,Yes,yes,no,yes,no,no
rockart-textanalysis,yes,no,yes,Yes,yes,no,yes,no,no
roev,yes,no,yes,Yes,yes,no,yes,no,no
rpaleoclim,yes,no,yes,Yes,yes,no,yes,no,no
rti,yes,no,yes,Yes,yes,no,yes,no,no
ruby-radiocarbon,yes,no,yes,Yes,yes,no,yes,no,no
rxylib,yes,no,yes,Yes,yes,no,yes,no,no
sdsanalysis,yes,no,yes,Yes,yes,no,yes,no,no
sdsbrowser,yes,no,yes,Yes,yes,no,yes,no,no
senscape,yes,no,yes,Yes,yes,no,yes,no,no
seriation,yes,no,yes,Yes,yes,no,yes,no,no
shapAAR,yes,no,yes,Yes,yes,no,yes,no,no
shiny_DRAC,yes,no,yes,Yes,yes,no,yes,no,no
shiny_Tldating,yes,no,yes,Yes,yes,no,yes,no,no
shkrdata,yes,no,yes,Yes,yes,no,yes,no,no
shootpoints-web-api,yes,no,yes,Yes,yes,no,yes,no,no
shootpoints-web-frontend,yes,no,yes,Yes,yes,no,yes,no,no
shoredate,yes,no,yes,Yes,yes,yes,no,yes,yes
signboardr,yes,no,yes,Yes,yes,no,yes,no,no
sindwem,yes,no,yes,Yes,yes,no,yes,no,no
sipontomedievale,yes,no,yes,Yes,yes,no,yes,no,no
sitedefinition,yes,no,yes,Yes,yes,no,yes,no,no
skeletal-sex-estimation,yes,no,yes,Yes,yes,no,yes,no,no
skullanalyzer,yes,no,yes,Yes,yes,no,yes,no,no
skyscapeR,yes,no,yes,Yes,yes,no,yes,no,no
soiltexture,yes,no,yes,Yes,yes,no,yes,no,no
spDates,yes,no,yes,Yes,yes,no,yes,no,no
sparch,yes,no,yes,Yes,yes,no,yes,no,no
statuAAR,yes,no,yes,Yes,yes,no,yes,no,no
stratigraphr,yes,no,yes,Yes,yes,yes,no,yes,yes
synthkat,yes,no,yes,Yes,yes,no,yes,no,no
tRauma,yes,no,yes,Yes,yes,no,yes,no,no
tabula,yes,no,yes,Yes,yes,yes,no,yes,yes
tdar,yes,no,yes,Yes,yes,no,yes,no,no
teethr,yes,no,yes,Yes,yes,no,yes,no,no
tfqar,yes,no,yes,Yes,yes,no,yes,no,no
tidypaleo,yes,no,yes,Yes,yes,no,yes,no,no
timeperiod2daterange,yes,no,yes,Yes,yes,no,yes,no,no
tipom,yes,no,yes,Yes,yes,no,yes,no,no
tosca,yes,no,yes,Yes,yes,no,yes,no,no
totalopenstation,yes,no,yes,Yes,yes,no,yes,no,no
totalopenstationToQgis,yes,no,yes,Yes,yes,no,yes,no,no
totalstation-tools,yes,no,yes,Yes,yes,no,yes,no,no
trenchdrawer,yes,no,yes,Yes,yes,no,yes,no,no
tweet-edits-to-archaeology-articles.R,no,yes,yes,Yes,yes,no,yes,no,no
unstruwwel,yes,no,yes,Yes,yes,no,yes,no,no
web_geochemistry,yes,no,yes,Yes,yes,no,yes,no,no
xDateR,yes,no,yes,Yes,yes,no,yes,no,no
xrf,yes,no,yes,Yes,yes,no,yes,no,no
xronos.R,yes,no,no,Yes,yes,no,yes,no,no
yada,yes,no,yes,Yes,yes,no,yes,no,no
zooaRch,no,no,yes,Yes,yes,no,yes,no,no
zooaRchGUI,yes,no,yes,Yes,yes,no,yes,no,no
zoolog,yes,no,yes,Yes,yes,no,yes,no,no
3D libraries of ships,no,no,,,no,no,,no,no
3d-ceramics,yes,no,,,no,no,,no,no
A Mobile Data-Collection Workflow for Archaeologists,no,no,,,no,no,,no,no
A bibliography of public archaeology and archaeological heritage management in the Mediterranean,no,no,,,no,no,,no,no
ABC of Archaeobotanical Open Science,no,no,,,no,no,,no,no
ABM tutorials,yes,no,,,no,no,,no,no
ABMA,yes,no,,,no,no,,no,no
ABMA_tutorials,yes,no,no,No,no,no,,no,no
AIDA,yes,no,,,no,no,,no,no
ARCSCore,yes,no,,,no,no,,no,no
ARchaeology,yes,no,no,No,no,no,,no,no
Analysing Stable Isotope Data,no,no,,,no,no,,no,no
Analysing-Archaeological-Radiocabon-Ages-Using-R,yes,no,,,no,no,,no,no
AncientMetagenomeDir,yes,no,,,no,no,,no,no
Archaeo-Term,no,no,,,no,no,,no,no
Archaeological Ethics Database,no,no,,,no,no,,no,no
Archaeological_Catalogue_from_CSV_Spreadsheet,yes,no,no,No,no,no,,no,no
ArchaeologyAdventure,yes,no,no,No,no,no,,no,no
Arran,yes,no,,,no,no,,no,no
AtlantGIS,yes,no,,,no,no,,no,no
Bibliographic Database of African Scholarship on African Archaeology,no,no,,,no,no,,no,no
Bridging the Gap ENCODE Database,no,no,,,no,no,,no,no
CHARM,no,no,,,no,no,,no,no
CalPal-Database,yes,no,,,no,no,,no,no
Classical and ancient Linked Open Data,no,no,,,no,no,,no,no
Corallium Fabrica,no,no,,,no,no,,no,no
Crop_Origins_Phylo,yes,no,,,no,no,,no,no
Curso_Intro_R_Arqueologia,yes,no,,,no,no,,no,no
DIYFieldworkDatabase,yes,no,,,no,no,,no,no
DObsiSS,yes,no,,,no,no,,no,no
Day of Archaeology Archive,no,no,,,no,no,,no,no
Dendro_R,yes,no,,,no,no,,no,no
Digital Encyclopedia of Archaeologists,yes,no,,,no,no,,no,no
Electronic Babylonian Literature Project,no,no,,,no,no,,no,no
FISH Vocabularies,no,no,,,no,no,,no,no
GCD,yes,no,,,no,no,,no,no
GIS-Projects,yes,no,,,no,no,,no,no
Git-to-the-Point,yes,no,,,no,no,,no,no
GlobaLID-database,yes,no,,,no,no,,no,no
IntChron,no,no,,,no,no,,no,no
Isaac's List of FOSS tools for academics... and what to use them for!,no,no,,,no,no,,no,no
IsoArcH,no,no,,,no,no,,no,no
IsoDataVis,yes,no,,,no,no,,no,no
IsoMapNL,yes,no,,,no,no,,no,no
Isotope-Visualisation,yes,no,,,no,no,,no,no
MapofComputationalArchaeology,yes,no,no,No,no,no,,no,no
Mastodon-Archaeology,yes,no,,,no,no,,no,no
Material Sources for Early Islam and Late Antique Near East,no,no,,,no,no,,no,no
Mycenaean Atlas Project,no,no,,,no,no,,no,no
NASSA-modules,yes,no,,,no,no,,no,no
NERD,yes,no,,,no,no,,no,no
NRHP_Metadata_Scheme,yes,no,,,no,no,,no,no
ODATE,yes,no,,,no,no,,no,no
OHM Data Index,no,no,,,no,no,,no,no
Open Access Archaeology,no,no,,,no,no,,no,no
Open-Science-in-Phytolith-Research,yes,no,,,no,no,,no,no
OpenArchaeology.net,yes,no,,,no,no,,no,no
PAThs Simple Vectorization Protocol,no,no,,,no,no,,no,no
Plotting Dental Inventory with ggplot2,no,no,,,no,no,,no,no
Pofatu,yes,no,,,no,no,,no,no
Potential datasets for PhD projects,no,no,,,no,no,,no,no
R for data analysis and visualization of Archaological Data,yes,no,,,no,no,,no,no
R-Scripts,yes,no,,,no,no,,no,no
Roman-material-database-info,yes,no,,,no,no,,no,no
Roundup of Resources on Ancient Geography,no,no,,,no,no,,no,no
Scroll Viewer,yes,no,no,No,no,no,,no,no
StoneAdvisor,yes,no,no,No,no,no,,no,no
The ABM in Archaeology Bibliography,yes,no,,,no,no,,no,no
The AWOL Index,no,no,,,no,no,,no,no
Tools for Quantitative Archaeology,no,no,,,no,no,,no,no
a-scientific-computing-environment-for-archaeology.txt,no,yes,,,no,no,,no,no
aDRAC,yes,no,,,no,no,,no,no
aca_data_collection,yes,no,,,no,no,,no,no
