Tool,Status,Article,URL,Run
gvSIG CE,CONFIRMED,Free and Open Source Software development in Archaeology. Two interrelated case studies: gvSIG CE and Survey2GIS,https://intarch.ac.uk/journal/issue43/bibby-ducke_toc.html,IA-31-67 fail
lingtypR,CONFIRMED,glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data (Journal of Open Source Software: glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data),https://joss.theoj.org/papers/10.21105/joss.04303,JOSS-secondpass (much better)
pnuts,CONFIRMED,Editorial,https://intarch.ac.uk/journal/issue2/edit2.html,IA-run2-success
Bwigg,CONFABULATION,,https://software.broadinstitute.org,Perplexity-SyntheticPrompt-DR
Faceted Query Engine,CONFIRMED,A Faceted Query Engine Applied to Archaeology,https://intarch.ac.uk/journal/issue21/stoyanovich_index.html,IA-run2-success
Open Context,CONFIRMED,A Faceted Query Engine Applied to Archaeology,https://intarch.ac.uk/journal/issue21/stoyanovich_index.html,IA-run2-success
Depthmap,CONFIRMED,Analysing Medieval Urban Space,https://intarch.ac.uk/journal/issue21/craane_index.html,IA-run2-success
Minitab,MISATTRIBUTED,"Consumption, deposition and social practice",https://intarch.ac.uk/journal/issue21/pitts_index.html,IA-run2-success
ArcView GIS 3.3,MISATTRIBUTED,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",https://intarch.ac.uk/journal/issue21/boldrini_index.html,IA-run2-success
Spatial Analyst 2.0,MISATTRIBUTED,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",https://intarch.ac.uk/journal/issue21/boldrini_index.html,IA-run2-success
Grid Machine 6.53,CONFIRMED,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",https://intarch.ac.uk/journal/issue21/boldrini_index.html,IA-run2-success
Excel 2003,MISATTRIBUTED,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",https://intarch.ac.uk/journal/issue21/boldrini_index.html,IA-run2-success
HBSMR (ExeGesIS) v3.06,CONFIRMED,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",https://intarch.ac.uk/journal/issue21/boldrini_index.html,IA-run2-success
Integrated Archaeological Database (IADB),CONFIRMED,Silchester Roman Town Insula IX,https://intarch.ac.uk/journal/issue21/silchester_index.html,IA-run2-success
Microware,CONFIRMED,Diet in Mesolithic Europe: New evidence from dental microwear,https://intarch.ac.uk/journal/issue22/mclaughlin_index.html,IA-run2-success
GNU R,MISATTRIBUTED,Diet in Mesolithic Europe: New evidence from dental microwear,https://intarch.ac.uk/journal/issue22/mclaughlin_index.html,IA-run2-success
ExeGesIS (HER data system),CONFIRMED,Categorising the Past: lessons from the archaeological resource assessment for Yorkshire,https://intarch.ac.uk/journal/issue23/roskams_index.html,IA-run2-success
MODES (museum database),CONFIRMED,Categorising the Past: lessons from the archaeological resource assessment for Yorkshire,https://intarch.ac.uk/journal/issue23/roskams_index.html,IA-run2-success
Microsoft Access,MISATTRIBUTED,"Characterising the Welsh Roundhouse: chronology, inhabitation and landscape",https://intarch.ac.uk/journal/issue23/1/index.html,IA-run2-success
ESRI ArcGIS,MISATTRIBUTED,"Characterising the Welsh Roundhouse: chronology, inhabitation and landscape",https://intarch.ac.uk/journal/issue23/1/index.html,IA-run2-success
ArcView GIS,MISATTRIBUTED,An Interactive Image Using SVG and Ajax in Archaeology,https://intarch.ac.uk/journal/issue23/charno_index.html,IA-run2-success
Adobe Illustrator CS2,MISATTRIBUTED,An Interactive Image Using SVG and Ajax in Archaeology,https://intarch.ac.uk/journal/issue23/charno_index.html,IA-run2-success
SVG,MISATTRIBUTED,An Interactive Image Using SVG and Ajax in Archaeology,https://intarch.ac.uk/journal/issue23/charno_index.html,IA-run2-success
Ajax,MISATTRIBUTED,An Interactive Image Using SVG and Ajax in Archaeology,https://intarch.ac.uk/journal/issue23/charno_index.html,IA-run2-success
Blender,MISATTRIBUTED,"Appropriate Levels of Detail in 3-D Visualisation: the House of the Surgeon, Pompeii",https://intarch.ac.uk/journal/issue23/murgatroyd_index.html,IA-run2-success
AutoCAD,MISATTRIBUTED,"Appropriate Levels of Detail in 3-D Visualisation: the House of the Surgeon, Pompeii",https://intarch.ac.uk/journal/issue23/murgatroyd_index.html,IA-run2-success
ArcMap (ArcGIS),MISATTRIBUTED,Dress and Social Identities: the role of GIS in mapping social structure,https://intarch.ac.uk/journal/issue24/cougle_index.html,IA-run2-success
ArcView GIS,MISATTRIBUTED,Measuring Women's Influence on Roman Military Life,https://intarch.ac.uk/journal/issue24/allison_index.html,IA-run2-success
SASSA (web-based system),CONFIRMED,Developing SASSA: a Soil Analysis Support System for Archaeologists,https://intarch.ac.uk/journal/issue25/wilson_index.html,IA-run2-success
Matrix Manager,CONFIRMED,DigIT: Archaeological Summary Report and Experiments in Digital Recording in the Field,https://intarch.ac.uk/journal/issue27/powlesland_index.html,IA-run2-success
ArcGIS skeletal templates,CONFIRMED,A New Tool for Zooarchaeological Analysis: ArcGIS Skeletal Templates for Some Common Mammalian Species,https://intarch.ac.uk/journal/issue28/orton_index.html,IA-run2-success
STAR,CONFIRMED,Connecting Archaeological Data and Grey Literature via Semantic Cross Search,https://intarch.ac.uk/journal/issue30/tudhope_index.html,IA-run2-success
STELLAR,CONFIRMED,Connecting Archaeological Data and Grey Literature via Semantic Cross Search,https://intarch.ac.uk/journal/issue30/tudhope_index.html,IA-run2-success
Virtual Amarna Project,CONFIRMED,Developing a 3-D Digital Heritage Ecosystem,https://intarch.ac.uk/journal/issue30/limp_index.html,IA-run2-success
XVR,CONFIRMED,Communicating Archaeological Risk with Web-Based Virtual Reality,https://intarch.ac.uk/journal/issue31/landeschi-carrozzino_index.html,IA-run2-success
ActiveX,MISATTRIBUTED,Communicating Archaeological Risk with Web-Based Virtual Reality,https://intarch.ac.uk/journal/issue31/landeschi-carrozzino_index.html,IA-run2-success
Sketchfab,DISCOVERY_ERROR,"Visualising the Guild Chapel, Stratford-upon-Avon",https://intarch.ac.uk/journal/issue32/giles_toc.html,IA-run2-success
ArcGIS,MISATTRIBUTED,"GIS Visualisations of Mortuary Data from Holešov, Czech Republic",https://intarch.ac.uk/journal/issue36/smejda_toc.html,IA-run2-success
Polynomial Texture Mapping (PTM),MISATTRIBUTED,A New Record of Pre-Columbian Engravings in Urubici using PTM,https://intarch.ac.uk/journal/issue38/riris_toc.html,IA-run2-success
GIS,MISATTRIBUTED,Reconstructing Rebellion: Digital Terrain Analysis of the Battle of Dussindale,https://intarch.ac.uk/journal/issue38/hodgkins_toc.html,IA-run2-success
Gephi,MISATTRIBUTED,Mapping the Structure of the Archaeological Web,https://intarch.ac.uk/journal/issue39/graham_toc.html,IA-run2-success
Google Earth,MISATTRIBUTED,Google Under-the-Earth: Seeing Beneath Stonehenge using Google Earth,https://intarch.ac.uk/journal/issue40/welham_toc.html,IA-run2-success
Intrasis,CONFIRMED,"Digitising the Archaeological Process at the Swedish National Heritage Board",https://intarch.ac.uk/journal/issue43/larsson_toc.html,IA-run2-success
ARIADNE,CONFIRMED,Enabling European Archaeological Research: The ARIADNE E-Infrastructure,https://intarch.ac.uk/journal/issue43/aloia_toc.html,IA-run2-success
gvSIG CE,CONFIRMED,Free and Open Source Software development in Archaeology,https://intarch.ac.uk/journal/issue43/bibby-ducke_toc.html,IA-run2-success
Survey2GIS,CONFIRMED,Free and Open Source Software development in Archaeology,https://intarch.ac.uk/journal/issue43/bibby-ducke_toc.html,IA-run2-success
Microsoft HoloLens,MISATTRIBUTED,The Embodied GIS: Using Mixed Reality to explore multi-sensory archaeological landscapes,https://intarch.ac.uk/journal/issue44/eve_toc.html,IA-run2-success
Reflectance Transformation Imaging (RTI),MISATTRIBUTED,The Strange Case of Dame Mary May's tomb,https://intarch.ac.uk/journal/issue44/jones-smith_toc.html,IA-run2-success
WordPress,MISATTRIBUTED,"Day of Archaeology 2011–2017: Global Community, Public Engagement, and Digital Practice",https://intarch.ac.uk/journal/issue47/richardson_et_al_toc.html,IA-run2-success
Reflectance Transformation Imaging (RTI),MISATTRIBUTED,Maeshowe: The Application of RTI to Norse Runes (Data Paper),https://intarch.ac.uk/journal/issue47/smith_et_al.html,IA-run2-success
iDig,CONFIRMED,The Rise of the Machine: the impact of digital tablet recording in the field at Çatalhöyük,https://intarch.ac.uk/journal/issue47/taylor_et_al_toc.html,IA-run2-success
ARCHIS,CONFIRMED,A Toolbox for Archaeological Heritage Management,https://intarch.ac.uk/journal/issue49/lauwerier_toc.html,IA-run2-success
Arch-I-Scan,CONFIRMED,Exploring Automated Pottery Identification [Arch-I-Scan],https://intarch.ac.uk/journal/issue50/11/index.html,IA-run2-success
ArcGIS,MISATTRIBUTED,"Breedon Hill, Leicestershire: new surveys and their implications",https://intarch.ac.uk/journal/issue52/6/index.html,IA-run2-success
ArcScene,MISATTRIBUTED,"Breedon Hill, Leicestershire: new surveys and their implications",https://intarch.ac.uk/journal/issue52/6/index.html,IA-run2-success
ArchAIDE mobile application,CONFIRMED,Developing the ArchAIDE Application,https://intarch.ac.uk/journal/issue52/7/index.html,IA-run2-success
ArchAIDE desktop application,CONFIRMED,Developing the ArchAIDE Application,https://intarch.ac.uk/journal/issue52/7/index.html,IA-run2-success
WaveSurfer 1.8.8,MISATTRIBUTED,The song of air and water: Acoustic experiments with an Ecuadorian Whistle Bottle,https://intarch.ac.uk/journal/issue52/2/index.html,IA-run2-success
TensorFlow,MISATTRIBUTED,What the Machine Saw: ethics of computer vision and machine learning,https://intarch.ac.uk/journal/issue52/5/index.html,IA-run2-success
Jupyter Notebook,MISATTRIBUTED,What the Machine Saw: ethics of computer vision and machine learning,https://intarch.ac.uk/journal/issue52/5/index.html,IA-run2-success
ArchAIDE,CONFIRMED,Developing the ArchAIDE Application,https://intarch.ac.uk/journal/issue52/anichini_toc.html,IA-run2-success
VirtualArch project platform,CONFIRMED,VirtualArch: Making Archaeological Heritage Visible,https://intarch.ac.uk/journal/issue54/2/index.html,IA-run2-success
Burial Space Research Database,CONFIRMED,The Burial Space Research Database (Data Paper),https://intarch.ac.uk/journal/issue55/3/index.html,IA-run2-success
dataARC cyberinfrastructure,CONFIRMED,A Lockpick's Guide to dataARC: Designing Infrastructures and Building Communities,https://intarch.ac.uk/journal/issue56/15/index.html,IA-run2-success
3D scanning and 3D printing technology,MISATTRIBUTED,Creation of Functional Replica Roman and Late Antique Musical Instruments,https://intarch.ac.uk/journal/issue56/1/index.html,IA-run2-success
Agisoft PhotoScan,CONFIRMED,From Archive to GIS: Recovering Spatial Information for Tholos IV,https://intarch.ac.uk/journal/issue56/5/index.html,IA-run2-success
Swedish National Data Service (SND),CONFIRMED,A Turn Towards the Digital: Swedish Heritage Information Management,https://intarch.ac.uk/journal/issue58/19/index.html,IA-run2-success
Archaeology Data Service (ADS),CONFIRMED,Archiving Archaeological Data in the United Kingdom,https://intarch.ac.uk/journal/issue58/21/index.html,IA-run2-success
OASIS,CONFIRMED,Archiving Archaeological Data in the United Kingdom,https://intarch.ac.uk/journal/issue58/21/index.html,IA-run2-success
Archeologiczne Zdjęcie Polski (AZP),CONFIRMED,Belated Measures: Digital Archaeological Archiving in Poland,https://intarch.ac.uk/journal/issue58/12/index.html,IA-run2-success
Askeladden,CONFIRMED,Curation of Digital Archaeological Data in Norway,https://intarch.ac.uk/journal/issue58/29/index.html,IA-run2-success
Archaeological Map of Bulgaria (AMB),CONFIRMED,Current State of Archiving Archaeological Reports in Bulgaria,https://intarch.ac.uk/journal/issue58/24/index.html,IA-run2-success
Swedish National Data Service (SND),CONFIRMED,Digital Archaeological Archiving in Sweden: the SND perspective,https://intarch.ac.uk/journal/issue58/18/index.html,IA-run2-success
tDAR,CONFIRMED,Digital Archaeological Data in the Wild West,https://intarch.ac.uk/journal/issue58/22/index.html,IA-run2-success
Open Context,CONFIRMED,Digital Archaeological Data in the Wild West,https://intarch.ac.uk/journal/issue58/22/index.html,IA-run2-success
Endovélico,CONFIRMED,Digital Archaeology Archives in Portugal,https://intarch.ac.uk/journal/issue58/13/index.html,IA-run2-success
TGIR Huma-Num,CONFIRMED,Digital Archiving and Data Stewardship in French Archaeology,https://intarch.ac.uk/journal/issue58/26/index.html,IA-run2-success
MASA consortium,CONFIRMED,Digital Archiving and Data Stewardship in French Archaeology,https://intarch.ac.uk/journal/issue58/26/index.html,IA-run2-success
ARCHIS,CONFIRMED,Digital Dutch Archaeology: Future perspectives,https://intarch.ac.uk/journal/issue58/28/index.html,IA-run2-success
SIGEC,CONFIRMED,Policy and Practice for Digital Archaeological Archiving in Italy,https://intarch.ac.uk/journal/issue58/27/index.html,IA-run2-success
Archaeology Data Service (ADS),CONFIRMED,Red Sky at Night: digital archiving in England 2020,https://intarch.ac.uk/journal/issue58/6/index.html,IA-run2-success
OASIS,CONFIRMED,Red Sky at Night: digital archiving in England 2020,https://intarch.ac.uk/journal/issue58/6/index.html,IA-run2-success
AIS CR (Czech Republic),CONFIRMED,Taming the Beast: Digital Archiving in Czech Archaeology,https://intarch.ac.uk/journal/issue58/5/index.html,IA-run2-success
Hungarian Archaeology Database,CONFIRMED,The Hungarian Archaeology Database,https://intarch.ac.uk/journal/issue58/9/index.html,IA-run2-success
VOSviewer,CONFIRMED,Archaeological Research 2014 to 2021: science maps,https://intarch.ac.uk/journal/issue59/10/index.html,IA-run2-success
Twitter API,MISATTRIBUTED,Tweets in the Peak: Twitter Analysis,https://intarch.ac.uk/journal/issue59/6/index.html,IA-run2-success
Gephi,MISATTRIBUTED,Why did Cities Evolve in Gharb Al-Andalus?,https://intarch.ac.uk/journal/issue59/9/index.html,IA-run2-success
Climate Vulnerability Index (CVI),CONFIRMED,Developing Climate Risk Assessments for World Heritage,https://intarch.ac.uk/journal/issue60/3/index.html,IA-run2-success
Portable Antiquities Scheme (PAS),CONFIRMED,The Portable Antiquities Scheme and Viking Comb,https://intarch.ac.uk/journal/issue61/11/index.html,IA-run2-success
Getty AAT vocabulary,MISATTRIBUTED,Aggregating Coin Find Data to ARIADNE Portal,https://intarch.ac.uk/journal/issue64/6/index.html,IA-run2-success
DB-HERITAGE platform,CONFIRMED,DB-HERITAGE Building Materials Data Aggregation,https://intarch.ac.uk/journal/issue64/5/index.html,IA-run2-success
SORAN,CONFIRMED,Following the Thread: Integrating SORAN's Japanese Dataset,https://intarch.ac.uk/journal/issue64/15/index.html,IA-run2-success
THANADOS database,CONFIRMED,Integrating Data on Early Medieval Graves,https://intarch.ac.uk/journal/issue64/11/index.html,IA-run2-success
Mortuary Data Application Profile,CONFIRMED,Integrating Data on Early Medieval Graves,https://intarch.ac.uk/journal/issue64/11/index.html,IA-run2-success
AMCR-PAS portal,CONFIRMED,Recording Data from Metal-Detecting Activities in Czech Republic,https://intarch.ac.uk/journal/issue64/13/index.html,IA-run2-success
ROCEEH Out-of-Africa Database (ROAD),CONFIRMED,ROAD Data Aggregation in ARIADNE Pipeline,https://intarch.ac.uk/journal/issue64/9/index.html,IA-run2-success
BADACor database,CONFIRMED,Towards an Open Digital Ecosystem for Archaeology in South America,https://intarch.ac.uk/journal/issue64/16/index.html,IA-run2-success
BIM platform,MISATTRIBUTED,BIM and GIS in HS2 historic environment data management,https://intarch.ac.uk/journal/issue65/5/index.html,IA-run2-success
GIS,MISATTRIBUTED,BIM and GIS in HS2 historic environment data management,https://intarch.ac.uk/journal/issue65/5/index.html,IA-run2-success
Unity 3D,MISATTRIBUTED,Visualising Heritage: 3D immersive technologies for HS2,https://intarch.ac.uk/journal/issue65/7/index.html,IA-run2-success
GitHub,MISATTRIBUTED,Open Archaeology Open Source?,https://intarch.ac.uk/journal/issue67/13/index.html,IA-run2-success
Roman Inscriptions of Britain (RIB) database,CONFIRMED,Agency of Civilians Women and Britons in Roman Britain,https://intarch.ac.uk/journal/issue67/17/index.html,IA-run2-success
Archaeological Map of Bulgaria (AMB),CONFIRMED,FAIR-ness in Bulgarian Archaeology: AMB in ARIADNE,https://intarch.ac.uk/journal/issue67/5/index.html,IA-run2-success
WallGIS,CONFIRMED,WallGIS: A Database and GIS for Hadrian's Wall,https://intarch.ac.uk/journal/issue67/24/index.html,IA-run2-success
tidypaleo,CONFIRMED,tidypaleo: Tidy tools for stratigraphic data in R,https://joss.theoj.org/papers/10.21105/joss.00603,JOSS-worthless-o3
archr,CONFABULATION,archr: Automated Radiocarbon Chronology for R (fabricated),https://joss.theoj.org/papers/10.21105/joss.00840,JOSS-worthless-o3
Archeofrag,CONFIRMED,Archeofrag: R package for Refitting and Spatial Analysis,https://joss.theoj.org/papers/10.21105/joss.04335,JOSS-worthless-o3
archeoViz,CONFIRMED,archeoViz: Web Interface for Archaeological Visualization,https://joss.theoj.org/papers/10.21105/joss.05811,JOSS-worthless-o3
tabula,CONFIRMED,tabula: R Package for Archaeological Count Data,https://joss.theoj.org/papers/10.21105/joss.01821,JOSS-worthless-o3
c14bazAAR,CONFIRMED,c14bazAAR: R package for C14 dates,https://joss.theoj.org/papers/10.21105/joss.01914,JOSS-worthless-o3
aion,CONFIRMED,aion: R Package for Archaeological Time Series,https://joss.theoj.org/papers/10.21105/joss.06210,JOSS-worthless-o3
MicroPasts,MISATTRIBUTED,MicroPasts: Crowd-sourcing platform (not research tool),https://joss.theoj.org/papers/10.21105/joss.01022,JOSS-worthless-o3
rhip,CONFABULATION,rhip: historical images reconstruction (fabricated),https://joss.theoj.org/papers/10.21105/joss.01032,JOSS-worthless-o3
ArchaeoPhases,CONFIRMED,ArchaeoPhases: Bayesian chronological modelling,https://joss.theoj.org/papers/10.21105/joss.01064,JOSS-worthless-o3
OpenEthnology,CONFABULATION,OpenEthnology: ethnographic database (fabricated),https://joss.theoj.org/papers/10.21105/joss.01056,JOSS-worthless-o3
shoredate,CONFIRMED,shoredate: Bayesian Shoreline Dating in R,https://joss.theoj.org/papers/10.21105/joss.05337,JOSS-worthless-o3
PyLithics,CONFIRMED,PyLithics: Python lithic artifact analysis,https://joss.theoj.org/papers/10.21105/joss.03738,JOSS-worthless-o3
RACER,CONFABULATION,RACER: Radiocarbon Analysis (fabricated),https://joss.theoj.org/papers/10.21105/joss.01082,JOSS-worthless-o3
aRchaic,CONFIRMED,aRchaic: Ancient DNA damage patterns in R,https://joss.theoj.org/papers/10.21105/joss.01094,JOSS-worthless-o3
ChronoModelr,CONFABULATION,ChronoModelr: near-match confabulation (RChronoModel exists),https://joss.theoj.org/papers/10.21105/joss.01095,JOSS-worthless-o3
pyArchaeo,CONFABULATION,pyArchaeo: 3D scan toolkit (fabricated),https://joss.theoj.org/papers/10.21105/joss.01096,JOSS-worthless-o3
argus,CONFABULATION,argus: geophysics time-series (fabricated),https://joss.theoj.org/papers/10.21105/joss.01099,JOSS-worthless-o3
FQC,CONFABULATION,FQC: FarmQuests crop modeling (fabricated),https://joss.theoj.org/papers/10.21105/joss.01102,JOSS-worthless-o3
pyrho,CONFIRMED,pyrho: recombination rates from ancient DNA,https://joss.theoj.org/papers/10.21105/joss.01130,JOSS-worthless-o3
stratigraphr,CONFIRMED,stratigraphr: stratigraphic diagrams in R,https://joss.theoj.org/papers/10.21105/joss.01136,JOSS-worthless-o3
mapDamage,CONFIRMED,mapDamage: Ancient DNA damage analysis,https://joss.theoj.org/papers/10.21105/joss.01160,JOSS-worthless-o3
mortAAR,CONFIRMED,mortAAR: Mortality modeling in archaeology,https://joss.theoj.org/papers/10.21105/joss.01175,JOSS-worthless-o3
RChrono,CONFABULATION,RChrono: Radiocarbon tools (fabricated),https://joss.theoj.org/papers/10.21105/joss.01190,JOSS-worthless-o3
ChronCluster,CONFABULATION,ChronCluster: Bayesian chronology (fabricated),https://joss.theoj.org/papers/10.21105/joss.01194,JOSS-worthless-o3
pastR,CONFABULATION,pastR: paleontological site analysis (fabricated),https://joss.theoj.org/papers/10.21105/joss.01197,JOSS-worthless-o3
ArchABM,CONFABULATION,ArchABM: Agent-based modeling (fabricated + DOI hijack),https://joss.theoj.org/papers/10.21105/joss.01201,JOSS-worthless-o3
chora,CONFABULATION,chora: chorology analysis (fabricated),https://joss.theoj.org/papers/10.21105/joss.01225,JOSS-worthless-o3
archCandy,CONFABULATION,archCandy: sweet-spot detection (fabricated),https://joss.theoj.org/papers/10.21105/joss.01241,JOSS-worthless-o3
TensorFlow,MISATTRIBUTED,Fleshing Out the Bones: Human Remains Trade,https://doi.org/10.5334/jcaa.8,JCAA-o3
Inception,MISATTRIBUTED,Fleshing Out the Bones: Human Remains Trade,https://doi.org/10.5334/jcaa.8,JCAA-o3
Keras,MISATTRIBUTED,Learning to Look at LiDAR,https://doi.org/10.5334/jcaa.32,JCAA-o3
Mask R-CNN,MISATTRIBUTED,Learning to Look at LiDAR,https://doi.org/10.5334/jcaa.32,JCAA-o3
R (apcluster),MISATTRIBUTED,Châtelperronian and Protoaurignacian Core Technology,https://doi.org/10.5334/jcaa.17,JCAA-o3
R,MISATTRIBUTED,Tool-Driven Revolutions in Archaeological Science,https://doi.org/10.5334/jcaa.29,JCAA-o3
Google Earth Engine,MISATTRIBUTED,Detecting Looting Activity at Apamea,https://doi.org/10.5334/jcaa.56,JCAA-o3
Mask R-CNN,MISATTRIBUTED,Combined Detection and Segmentation from LiDAR,https://doi.org/10.5334/jcaa.64,JCAA-o3
ImgAug,MISATTRIBUTED,Combined Detection and Segmentation from LiDAR,https://doi.org/10.5334/jcaa.64,JCAA-o3
ArcGIS 10.5,MISATTRIBUTED,Building a Model to Reconstruct Hellenistic and Roman Road Networks,https://doi.org/10.5334/jcaa.67,JCAA-o3
SAGAscape,CONFIRMED,SAGAscape: Simulating Resource Exploitation Strategies,https://doi.org/10.5334/jcaa.90,JCAA-o3
Arch-I-Scan,CONFIRMED,The Arch-I-Scan Project: AI and 3D Simulation for Roman Foodways,https://doi.org/10.5334/jcaa.92,JCAA-o3
Temporal normalization tool,CONFIRMED,Automatic Normalization of Temporal Expressions,https://doi.org/10.5334/jcaa.105,JCAA-o3
ArcGIS,MISATTRIBUTED,Geographic Information Systems in Archaeology: A Systematic Review,https://doi.org/10.5334/jcaa.104,JCAA-o3
QGIS,MISATTRIBUTED,Geographic Information Systems in Archaeology: A Systematic Review,https://doi.org/10.5334/jcaa.104,JCAA-o3
DepthmapX,CONFIRMED,Architecture Reality and Perception: Egyptian Domestic Architecture,https://doi.org/10.5334/jcaa.95,JCAA-o3
