Tool_Name_Raw,Tool_Name_Standardised,LLM_Service,LLM_Model,Harness,Run_Quality,Journal,Article_Title,Article_Authors,Issue_Number,Year,URL_DOI,Discovery_Context,Sheet_Name,Additional_Notes,Verification_Status,Extraction_Completeness
XVR,XVR,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,Communicating Archaeological Risk with Web-Based Virtual Reality: A Case Study,Giacomo Landeschi; Marcello Carrozzino,31,2011,https://intarch.ac.uk/journal/issue31/landeschi-carrozzino_index.html,Mentioned,IA-31-67 fail,Failed run (issues 31-67 only),CONFIRMED,COMPLETE
ActiveX,ActiveX,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,Communicating Archaeological Risk with Web-Based Virtual Reality: A Case Study,Giacomo Landeschi; Marcello Carrozzino,31,2011,https://intarch.ac.uk/journal/issue31/landeschi-carrozzino_index.html,Mentioned,IA-31-67 fail,Failed run (issues 31-67 only),MISATTRIBUTED,COMPLETE
Sketchfab,Sketchfab,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,"Visualising the Guild Chapel, Stratford-upon-Avon: digital models as research tools in buildings archaeology",Kate Giles; Anthony Masinton; Geoff Arnott,32,2012,https://intarch.ac.uk/journal/issue32/giles_toc.html,Primary,IA-31-67 fail,Source hallucination - Sketchfab is a real platform but article uses Unity WebGL Player not Sketchfab (verified in Fig 16 and /guild-chapel/index.html). Tool exists but presence in this source was fabricated.,CONFABULATION,COMPLETE
ArcGIS,ArcGIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,"GIS Visualisations of Mortuary Data from Holešov, Czech Republic",Ladislav Šmejda,36,2014,https://intarch.ac.uk/journal/issue36/smejda_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),MISATTRIBUTED,COMPLETE
Polynomial Texture Mapping (PTM),Polynomial Texture Mapping,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,"A New Record of Pre-Columbian Engravings in Urubici (SC), Brazil using Polynomial Texture Mapping",Philip Riris; Rafael Corteletti,38,2015,https://intarch.ac.uk/journal/issue38/riris_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only); Corrected from MISATTRIBUTED: successful metadata evaluation confirms research tool status (Polynomial Texture Mapping (PTM)),CONFIRMED,COMPLETE
GIS,GIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,Reconstructing Rebellion: Digital Terrain Analysis of the Battle of Dussindale (1549),Alexander Hodgkins,38,2015,https://intarch.ac.uk/journal/issue38/hodgkins_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),MISATTRIBUTED,COMPLETE
Gephi,Gephi,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,Mapping the Structure of the Archaeological Web,Shawn Graham,39,2015,https://intarch.ac.uk/journal/issue39/graham_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only); Corrected from MISATTRIBUTED: successful metadata evaluation confirms research tool status (Gephi),CONFIRMED,COMPLETE
Google Earth,Google Earth,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,Google Under-the-Earth: Seeing Beneath Stonehenge using Google Earth - a Tool for Public Engagement and the Dissemination of Archaeological Data,Kate Welham; Lawrence Shaw; Mark Dover; Harry Manley; Mike Parker Pearson; Josh Pollard; Colin Richards; Julian Thomas; Chris Tilley,40,2015,https://intarch.ac.uk/journal/issue40/welham_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),MISATTRIBUTED,COMPLETE
gvSIG CE,gvSIG CE,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,Free and Open Source Software development in Archaeology. Two interrelated case studies: gvSIG CE and Survey2GIS,David Bibby; Benjamin Ducke,43,2017,https://intarch.ac.uk/journal/issue43/bibby-ducke_toc.html,Mentioned,IA-31-67 fail,Failed run (issues 31-67 only),CONFIRMED,COMPLETE
Survey2GIS,Survey2GIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,Free and Open Source Software development in Archaeology. Two interrelated case studies: gvSIG CE and Survey2GIS,David Bibby; Benjamin Ducke,43,2017,https://intarch.ac.uk/journal/issue43/bibby-ducke_toc.html,Mentioned,IA-31-67 fail,Failed run (issues 31-67 only),CONFIRMED,COMPLETE
Intrasis,Intrasis,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,"Digitising the Archaeological Process at the Swedish National Heritage Board: producing, managing and sharing archaeological information",Åsa M. Larsson; Marcus Smith; Rikard Sohlenius; Tord Klafver,43,2017,https://intarch.ac.uk/journal/issue43/larsson_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),CONFIRMED,COMPLETE
ARIADNE,ARIADNE,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,Enabling European Archaeological Research: The ARIADNE E-Infrastructure,Nicola Aloia; Ceri Binding; Sebastian Cuy; Martin Doerr; Bruno Fanini; Achille Felicetti; Johan Fihn; Dimitris Gavrilis; Guntram Geser; Hella Hollander; Carlo Meghini; Franco Niccolucci; Federico Nurra; Christos Papatheodorou; Julian Richards; Paola Ronzino; Roberto Scopigno; Maria Theodoridou; Douglas Tudhope; Andreas Vlachidis; Holly Wright,43,2017,https://intarch.ac.uk/journal/issue43/aloia_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),CONFIRMED,COMPLETE
Microsoft HoloLens,Microsoft HoloLens,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,The Embodied GIS. Using Mixed Reality to explore multi-sensory archaeological landscapes,Stuart Eve,44,2017,https://intarch.ac.uk/journal/issue44/eve_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),MISATTRIBUTED,COMPLETE
Reflectance Transformation Imaging (RTI),Reflectance Transformation Imaging,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,The Strange Case of Dame Mary May's tomb: The performative value of Reflectance Transformation Imaging and its use in deciphering the visual and biographical evidence of a late 17th-century portrait effigy,Jude Jones; Nicole Smith,44,2017,https://intarch.ac.uk/journal/issue44/jones-smith_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),MISATTRIBUTED,COMPLETE
WordPress,WordPress,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,"Day of Archaeology 2011–2017: Global Community, Public Engagement, and Digital Practice",Lorna-Jane Richardson; Matt Law; J. Andrew Dufton; Kate Ellenberger; Stuart Eve; Tom Goskar; Jessica Ogden; Daniel Pett; Andrew Reinhard,47,2018,https://intarch.ac.uk/journal/issue47/richardson_et_al_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),MISATTRIBUTED,COMPLETE
iDig,iDig,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,The Rise of the Machine': the impact of digital tablet recording in the field at Çatalhöyük,James Taylor; Justine Issavi; Åsa Berggren; Dominik Lukas; Camilla Mazzucato; Burcu Tung; Nicoló Dell'Unto,47,2018,https://intarch.ac.uk/journal/issue47/taylor_et_al_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),CONFIRMED,COMPLETE
Reflectance Transformation Imaging (RTI),Reflectance Transformation Imaging,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,Maeshowe: The Application of RTI to Norse Runes (Data Paper),Nicole Smith; Gareth Beale; Julian Richards; Nela Scholma-Mason,47,2018,https://intarch.ac.uk/journal/issue47/smith_et_al.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),MISATTRIBUTED,COMPLETE
ARCHIS,ARCHIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,"A Toolbox for Archaeological Heritage Management. Maps, Methods and More for Effective and Efficient Selection of Valuable Archaeology",R.C.G.M. Lauwerier; M.C. Eerden; B.J. Groenewoudt; M.A. Lascaris; E. Rensink; B.I. Smit; B.P. Speleers; J. Van Doesburg,49,2018,https://intarch.ac.uk/journal/issue49/lauwerier_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),CONFIRMED,COMPLETE
Arch-I-Scan,Arch-I-Scan,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,Exploring Automated Pottery Identification [Arch-I-Scan],Ivan Tyukin; Konstantin Sofeikov; Jeremy Levesley; Alexander N. Gorban; Penelope Allison; Nicholas J. Cooper,50,2018,https://intarch.ac.uk/journal/issue50/tyukin_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),CONFIRMED,COMPLETE
ArchAIDE,ArchAIDE,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),fail,Internet Archaeology,"Developing the ArchAIDE Application: A digital workflow for identifying, organising and sharing archaeological pottery using automated image recognition",Francesca Anichini; Francesco Banterle; Jaume Buxeda i Garrigós; Marco Callieri; Nachum Dershowitz; Nevio Dubbini; Diego Lucendo Diaz; Tim Evans; Gabriele Gattiglia; Maria Letizia Gualandi; Miguel Angel Hervás; Barak Itkin; Marisol Madrid i Fernandez; Eva Miguel Gascón; Michael Remmy; Julian Richards; Roberto Scopigno; Llorenç Vila; Lior Wolf; Holly Wright; Massimo Zallocco,52,2020,https://intarch.ac.uk/journal/issue52/anichini_toc.html,Primary,IA-31-67 fail,Failed run (issues 31-67 only),CONFIRMED,COMPLETE
Archaeobotanical Computer Database (ABCD),Archaeobotanical Computer Database,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,A review of the archaeological evidence for food plants from the British Isles: an example of the use of the Archaeobotanical Computer Database (ABCD),Philippa Tomlinson; Allan R. Hall,1,1996,https://intarch.ac.uk/journal/issue1/tomlinson_toc.html,Primary,IA-run2-success,Verified: Primary archaeobotanical database for British food plant analysis,CONFIRMED,COMPLETE
ABCD,ABCD,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Foreword,Barry Cunliffe,1,1996,https://intarch.ac.uk/journal/issue1/foreword.html,Mentioned,IA-run2-success,Verified: Referenced in foreword as example of web-accessible database,CONFIRMED,COMPLETE
VRML,VRML,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Foreword,Barry Cunliffe,1,1996,https://intarch.ac.uk/journal/issue1/foreword.html,Mentioned,IA-run2-success,Standard/format (Virtual Reality Markup Language) not software tool,MISATTRIBUTED,COMPLETE
Vistapro,Vistapro,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Sensuous and reflexive GIS: exploring visualisation and VRML,Mark Gillings; Glyn Thomas Goodrick,1,1996,https://intarch.ac.uk/journal/issue1/gillings_toc.html,Mentioned,IA-run2-success,Commercial landscape visualisation software repurposed for archaeological terrain modelling,CONFIRMED,COMPLETE
Vistamorph,Vistamorph,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Sensuous and reflexive GIS: exploring visualisation and VRML,Mark Gillings; Glyn Thomas Goodrick,1,1996,https://intarch.ac.uk/journal/issue1/gillings_toc.html,Mentioned,IA-run2-success,Commercial morphing/animation software used for archaeological visualisation sequences,CONFIRMED,COMPLETE
Photomodeller,Photomodeller,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Sensuous and reflexive GIS: exploring visualisation and VRML,Mark Gillings; Glyn Thomas Goodrick,1,1996,https://intarch.ac.uk/journal/issue1/gillings_toc.html,Mentioned,IA-run2-success,Photogrammetry software for 3D reconstruction - research-relevant (cf. Agisoft inclusion),CONFIRMED,COMPLETE
Fountain,Fountain,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Sensuous and reflexive GIS: exploring visualisation and VRML,Mark Gillings; Glyn Thomas Goodrick,1,1996,https://intarch.ac.uk/journal/issue1/gillings_toc.html,Mentioned,IA-run2-success,VRML authoring tool used for archaeological 3D model creation,CONFIRMED,COMPLETE
Pioneer,Pioneer,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Sensuous and reflexive GIS: exploring visualisation and VRML,Mark Gillings; Glyn Thomas Goodrick,1,1996,https://intarch.ac.uk/journal/issue1/gillings_toc.html,Mentioned,IA-run2-success,Commercial 3D landscape software repurposed for archaeological terrain visualisation,CONFIRMED,COMPLETE
Pioneer Pro,Pioneer Pro,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Sensuous and reflexive GIS: exploring visualisation and VRML,Mark Gillings; Glyn Thomas Goodrick,1,1996,https://intarch.ac.uk/journal/issue1/gillings_toc.html,Mentioned,IA-run2-success,Commercial 3D landscape software (enhanced version) repurposed for archaeological visualisation,CONFIRMED,COMPLETE
Truespace,Truespace,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Sensuous and reflexive GIS: exploring visualisation and VRML,Mark Gillings; Glyn Thomas Goodrick,1,1996,https://intarch.ac.uk/journal/issue1/gillings_toc.html,Mentioned,IA-run2-success,Commercial 3D modelling software repurposed for archaeological object/site reconstruction,CONFIRMED,COMPLETE
Land Survey System,Land Survey System,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Sensuous and reflexive GIS: exploring visualisation and VRML,Mark Gillings; Glyn Thomas Goodrick,1,1996,https://intarch.ac.uk/journal/issue1/gillings_toc.html,Mentioned,IA-run2-success,Generic surveying software - not research-specific tooling; Corrected from MISATTRIBUTED: successful metadata evaluation as 'LSS (Land Survey System)' confirms research tool status,CONFIRMED,COMPLETE
Paint Shop Pro,Paint Shop Pro,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Sensuous and reflexive GIS: exploring visualisation and VRML,Mark Gillings; Glyn Thomas Goodrick,1,1996,https://intarch.ac.uk/journal/issue1/gillings_toc.html,Mentioned,IA-run2-success,Generic image editing software - not research-specific,MISATTRIBUTED,COMPLETE
Wcvt2Pov,Wcvt2Pov,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Sensuous and reflexive GIS: exploring visualisation and VRML,Mark Gillings; Glyn Thomas Goodrick,1,1996,https://intarch.ac.uk/journal/issue1/gillings_toc.html,Mentioned,IA-run2-success,Format conversion utility supporting archaeological 3D visualisation workflow,CONFIRMED,COMPLETE
Arc/Info,Arc/Info,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Sensuous and reflexive GIS: exploring visualisation and VRML,Mark Gillings; Glyn Thomas Goodrick,1,1996,https://intarch.ac.uk/journal/issue1/gillings_toc.html,Mentioned,IA-run2-success,Generic GIS platform - not research-specific (cf. ArcGIS exclusion),MISATTRIBUTED,COMPLETE
MATLAB,MATLAB,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,The archaeological use of Kernel Density Estimates,Christian Beardah; Mike Baxter,1,1996,https://intarch.ac.uk/journal/issue1/beardah_toc.html,Mentioned,IA-run2-success,Generic scientific computing platform - not research-specific,MISATTRIBUTED,COMPLETE
kdedemo1,kdedemo1,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,The archaeological use of Kernel Density Estimates,Christian Beardah; Mike Baxter,1,1996,https://intarch.ac.uk/journal/issue1/beardah_toc.html,Mentioned,IA-run2-success,Archaeological KDE demonstration tool by Beardah & Baxter,CONFIRMED,COMPLETE
kdedemo2,kdedemo2,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,The archaeological use of Kernel Density Estimates,Christian Beardah; Mike Baxter,1,1996,https://intarch.ac.uk/journal/issue1/beardah_toc.html,Mentioned,IA-run2-success,Archaeological KDE demonstration tool by Beardah & Baxter,CONFIRMED,COMPLETE
pnuts,pnuts,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Editorial,Alan Vince,2,1997,https://intarch.ac.uk/journal/issue2/edit2.html,Mentioned,IA-run2-success,IA publication utility - pnuts v4 for Previous/Next/Up/Top/Search navigation (John Frank WN server script),CONFIRMED,COMPLETE
htmltoc,htmltoc,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Editorial,Alan Vince,2,1997,https://intarch.ac.uk/journal/issue2/edit2.html,Mentioned,IA-run2-success,IA publication utility for generating tables of contents,CONFIRMED,COMPLETE
htmlfig,htmlfig,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Editorial,Alan Vince,2,1997,https://intarch.ac.uk/journal/issue2/edit2.html,Mentioned,IA-run2-success,IA publication utility for figure handling,CONFIRMED,COMPLETE
AutoCAD,AutoCAD,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,The need for the solid modelling of structure in the archaeology of buildings,Robert Daniels,2,1997,https://intarch.ac.uk/journal/issue2/daniels/index.html,Mentioned,IA-run2-success,Generic CAD platform - not research-specific,MISATTRIBUTED,COMPLETE
MicroStation,MicroStation,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,The need for the solid modelling of structure in the archaeology of buildings,Robert Daniels,2,1997,https://intarch.ac.uk/journal/issue2/daniels/index.html,Mentioned,IA-run2-success,Generic CAD platform - not research-specific; Corrected from MISATTRIBUTED: successful metadata evaluation confirms research tool status (MicroStation),CONFIRMED,COMPLETE
Rhino for AutoCAD,Rhino for AutoCAD,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,The need for the solid modelling of structure in the archaeology of buildings,Robert Daniels,2,1997,https://intarch.ac.uk/journal/issue2/daniels/index.html,Mentioned,IA-run2-success,Research-specific 3D modelling plugin to generic CAD platform,CONFIRMED,COMPLETE
FieldWorker Advanced 2.3.5,FieldWorker Advanced 2.3.5,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,FieldWorker Advanced 2.3.5 and FieldWorker Pro 0.91 GPS software,Nick Ryan; Jason Pascoe; David Morse,3,1997,https://intarch.ac.uk/journal/issue3/ryan.html,Mentioned,IA-run2-success,Archaeological field recording GPS software by Ryan et al.,CONFIRMED,COMPLETE
FieldWorker Pro 0.91,FieldWorker Pro 0.91,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,FieldWorker Advanced 2.3.5 and FieldWorker Pro 0.91 GPS software,Nick Ryan; Jason Pascoe; David Morse,3,1997,https://intarch.ac.uk/journal/issue3/ryan.html,Mentioned,IA-run2-success,Archaeological field recording GPS software by Ryan et al.,CONFIRMED,COMPLETE
Perseus 2.0,Perseus 2.0,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Perseus 2.0: Sources and Studies on Ancient Greek Culture CD-ROM,Harrison Eiteljorg II,3,1997,https://intarch.ac.uk/journal/issue3/eiteljorg.html,Primary,IA-run2-success,Digital library/database for ancient Greek culture studies,CONFIRMED,COMPLETE
Netscape 4,Netscape 4,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Archaeological Applications of GIS - CD-ROM Proceedings of Colloquium II, UISPP XIIIth Congress, Forli, Italy",David Wheatley,5,1998,https://intarch.ac.uk/journal/issue5/reviews/wheatley.html,Mentioned,IA-run2-success,Generic web browser - not research-specific,MISATTRIBUTED,COMPLETE
Internet Explorer 3,Internet Explorer 3,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Archaeological Applications of GIS - CD-ROM Proceedings of Colloquium II, UISPP XIIIth Congress, Forli, Italy",David Wheatley,5,1998,https://intarch.ac.uk/journal/issue5/reviews/wheatley.html,Mentioned,IA-run2-success,Generic web browser - not research-specific,MISATTRIBUTED,COMPLETE
PowerPoint,PowerPoint,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Archaeological Applications of GIS - CD-ROM Proceedings of Colloquium II, UISPP XIIIth Congress, Forli, Italy",David Wheatley,5,1998,https://intarch.ac.uk/journal/issue5/reviews/wheatley.html,Mentioned,IA-run2-success,Generic presentation software - not research-specific,MISATTRIBUTED,COMPLETE
Adobe Acrobat,Adobe Acrobat,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Archaeological Applications of GIS - CD-ROM Proceedings of Colloquium II, UISPP XIIIth Congress, Forli, Italy",David Wheatley,5,1998,https://intarch.ac.uk/journal/issue5/reviews/wheatley.html,Mentioned,IA-run2-success,Generic PDF software - not research-specific,MISATTRIBUTED,COMPLETE
VRML,VRML,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"A Virtual Tomb for Kelvingrove: Virtual Reality, Archaeology and Education",Melissa Terras,7,1999,https://intarch.ac.uk/journal/issue7/terras_toc.html,Primary,IA-run2-success,Standard/format - not software tool (duplicate discovery),MISATTRIBUTED,COMPLETE
BCal,BCal,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,BCal: an on-line Bayesian radiocarbon calibration tool,Caitlin Buck; J. Andrés Christen; Gary N. James,7,1999,https://intarch.ac.uk/journal/issue7/buck_index.html,Primary,IA-run2-success,Bayesian radiocarbon calibration web tool by Buck et al.,CONFIRMED,COMPLETE
ArchEd,ArchEd,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,ArchEd and Stratigraph - Excavation recording and analysis software,Mike Rains,8,2000,https://intarch.ac.uk/journal/issue8/reviews/rains.html,Mentioned,IA-run2-success,Archaeological excavation recording software,CONFIRMED,COMPLETE
Stratigraph,Stratigraph,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,ArchEd and Stratigraph - Excavation recording and analysis software,Mike Rains,8,2000,https://intarch.ac.uk/journal/issue8/reviews/rains.html,Mentioned,IA-run2-success,Archaeological stratigraphic analysis software (companion to ArchEd),CONFIRMED,COMPLETE
QuickTime VR,QuickTime VR,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Debriefing the Land: The Use of Non-immersive Virtual Reality Technologies to Record, Navigate and Analyse Artefact-rich Landscapes",Brian Larkman,8,2000,https://intarch.ac.uk/journal/issue8/larkman_toc.html,Primary,IA-run2-success,Generic VR platform - not research-specific,MISATTRIBUTED,COMPLETE
VRML,VRML,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,A Simple Technique For Visualising Three Dimensional Models in Landscape Contexts,Stuart Jeffrey,10,2001,https://intarch.ac.uk/journal/issue10/jeffrey_index.html,Mentioned,IA-run2-success,Standard/format - not software tool (3rd discovery),MISATTRIBUTED,COMPLETE
QTVR,QTVR,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,A Simple Technique For Visualising Three Dimensional Models in Landscape Contexts,Stuart Jeffrey,10,2001,https://intarch.ac.uk/journal/issue10/jeffrey_index.html,Mentioned,IA-run2-success,Generic VR platform - not research-specific (QuickTime VR),MISATTRIBUTED,COMPLETE
LifeForms,LifeForms,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Sculpture, Dance and Heritage: animating dance sequences from temple reliefs using movement modelling software",Alessandra Lopez y Royo Iyer,10,2001,https://intarch.ac.uk/journal/issue10/iyer_toc.html,Primary,IA-run2-success,Movement modelling software for archaeological dance reconstruction,CONFIRMED,COMPLETE
TimeMap,TimeMap,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Contextualising Archaeological Information Through Interactive Maps,Ian Johnson,12,2002,https://intarch.ac.uk/journal/issue12/johnson_index.html,Primary,IA-run2-success,Spatio-temporal mapping tool for archaeological data by Johnson,CONFIRMED,COMPLETE
Bwigg,Bwigg,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Bwigg: An Internet facility for Bayesian radiocarbon wiggle-matching,J. Andrés Christen,13,2003,https://intarch.ac.uk/journal/issue13/2/index.html,Primary,IA-run2-success,"Primary source article - Internet-based Bayesian radiocarbon wiggle-matching software developed at CIMAT, Mexico by Christen",CONFIRMED,COMPLETE
HEIRPORT,HEIRPORT,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Getting it together on-line: HEIRNET and Internet-based resource discovery tools for the Historic Environment,Kate Fernie,13,2003,https://intarch.ac.uk/journal/issue13/fernie_index.html,Primary,IA-run2-success,Historic Building/Sites/Monuments Record system - heritage management software,CONFIRMED,COMPLETE
